objID,dered_u,err_u,dered_g,err_g,dered_r,err_r,dered_i,err_i,dered_z,err_z,specObjID,z,zErr,photoZ,photoErr,class
1237648704048988976,25.33954,1.400141,21.88809,0.1632407,20.07317,0.0472451,19.15579,0.03141389,18.41042,0.06346125,4555489248535664640,0.5644761,0.0001590624,0.528524,0.033527,GALAXY
1237648704060785193,21.36502,0.1933123,21.04744,0.06590833,20.12393,0.04320381,19.34958,0.03114196,18.81981,0.07315817,4517220191911041024,0.6244065,5.547529E-05,0.60867,0.05355,GALAXY
1237648720144433929,22.63204,0.4941341,22.84124,0.3077524,21.12885,0.09380197,19.82576,0.04421108,19.22319,0.09375779,4243656749658429440,0.657154,0.0003116686,0.69128,0.051501,GALAXY
1237651226783974401,23.56717,1.20651,21.30868,0.06946846,19.6288,0.02639693,18.80056,0.02051626,18.33017,0.04736688,403155485156468736,0.4544895,0.0001262786,0.472103,0.022801,GALAXY
1237651249892557384,25.38395,1.1722,21.77847,0.1184926,19.81152,0.03055232,18.95897,0.02081926,18.57491,0.04753909,7679873597922629632,0.4713242,0.0001003724,0.473012,0.019059,GALAXY
1237651249892753977,23.41092,0.7123096,22.80422,0.2110079,20.95002,0.06166194,19.88474,0.03366083,19.45361,0.07590809,7674385386437892096,0.5856104,0.0001499464,0.567952,0.039444,GALAXY
1237651249899111252,23.36148,1.240376,21.92091,0.1824768,20.44225,0.07140655,19.35876,0.03856251,18.92737,0.09392909,7651696414393915392,0.5620648,0.0001839568,0.569024,0.034625,GALAXY
1237651272423964725,25.58956,0.8937203,21.67705,0.1111881,20.11989,0.04167401,19.32622,0.02930833,18.85691,0.0734568,4160441036274161664,0.4410204,7.141514E-05,0.471221,0.032881,GALAXY
1237651273513697958,25.85361,1.377021,22.42627,0.3192358,20.54517,0.08195837,19.22317,0.03981716,18.828,0.09759146,7685619096822765568,0.630217,0.0001531247,0.640277,0.03374,GALAXY
1237651497371042330,25.0896,2.3507,21.41797,0.1580893,20.01212,0.06063864,19.26523,0.04526393,18.90007,0.1264496,4165853112920463360,0.5131357,0.0001319239,0.428925,0.068937,GALAXY
1237651497371042330,25.0896,2.3507,21.41797,0.1580893,20.01212,0.06063864,19.26523,0.04526393,18.90007,0.1264496,5098097686315554816,0.513575,0.0001686296,0.428925,0.068937,GALAXY
1237653616934978255,24.23282,2.114657,22.92094,0.4011836,20.9913,0.1171254,19.65047,0.05890921,19.28675,0.1749273,7989398220584540160,0.6488699,0.0002970802,0.660298,0.035892,GALAXY
1237654030862516618,21.74782,0.3181223,21.19135,0.09470996,20.03277,0.05172466,19.32102,0.04462178,19.03928,0.1202494,5371791425376901120,0.5348832,9.045551E-05,0.526384,0.039015,GALAXY
1237654344937701913,25.10785,1.176724,22.09961,0.1253077,20.52926,0.04987275,19.57273,0.03647126,19.07176,0.08409222,8019901972395350016,0.5867775,0.000131414,0.524152,0.029973,GALAXY
1237654399698010445,24.07023,1.801347,21.59437,0.1188713,19.80698,0.03863657,18.76282,0.02458538,18.29541,0.068689,7673225951006971904,0.5709795,0.0002073248,0.547014,0.02477,GALAXY
1237654399700435681,24.59746,1.52058,22.09379,0.1466005,20.32416,0.04749665,19.38051,0.03400414,18.74692,0.07769443,7670771841053775872,0.5121554,0.0001280291,0.530482,0.033785,GALAXY
1237654399700501274,22.9124,0.5983206,21.66109,0.09565493,20.60339,0.05967309,19.65901,0.04229449,19.44758,0.151162,7670767992763078656,0.6151957,0.0002453037,0.617747,0.057664,GALAXY
1237654599955513931,23.22779,0.8866511,21.88657,0.1476849,20.17616,0.04495242,19.23368,0.02833548,18.80276,0.0617169,5335812651422603264,0.5111684,0.0001092421,0.523336,0.0312,GALAXY
1237654599956562520,23.44975,1.072705,22.18226,0.1891919,20.6139,0.06390986,19.43363,0.03186454,18.89424,0.06538272,5330160611933575168,0.6272686,0.0001633559,0.607504,0.031868,GALAXY
1237654600483406729,23.07843,0.8059678,22.70601,0.2809983,20.80462,0.07283881,19.71666,0.0385013,19.22071,0.09378177,4299963844661630976,0.5413526,0.0001566904,0.573718,0.034312,GALAXY
1237654604235212090,25.626,0.9255319,21.76463,0.1207701,19.94958,0.03282875,19.12088,0.02283599,18.6635,0.05482499,5342647219861608448,0.4668552,0.0001346298,0.46879,0.021664,GALAXY
1237654604241896587,22.88659,0.7759638,22.01384,0.1885375,20.4353,0.065566,19.5868,0.04278886,19.1264,0.1030995,4300030365115111424,0.5366357,0.0002094533,0.498123,0.037772,GALAXY
1237654606384006278,25.29704,1.261671,21.34952,0.08733214,19.5245,0.02509342,18.74456,0.01938941,18.36886,0.04528936,5389938588875249664,0.402995,9.124044E-05,0.446808,0.020703,GALAXY
1237654609605165504,25.67965,0.7362014,21.83619,0.09288786,20.09167,0.03266164,19.26947,0.02276885,19.00371,0.06669047,7853163782721525760,0.4811577,0.0001127966,0.467524,0.030442,GALAXY
1237654652568666637,23.59992,1.117052,21.89058,0.1405412,20.57603,0.05949082,19.58002,0.03586121,19.4876,0.1311805,6457301873007548416,0.5845096,0.0002946942,0.577173,0.056465,GALAXY
1237654652571222491,23.37666,1.206342,21.35885,0.09307511,19.54676,0.02872402,18.6725,0.01854242,18.2952,0.05292708,6444778442009630720,0.486064,8.940659E-05,0.480292,0.01859,GALAXY
1237654653636313695,21.78805,0.1891565,21.50661,0.06810708,20.43553,0.03716612,19.57329,0.02706557,19.09629,0.05934786,4281833996978247680,0.6341757,8.024732E-05,0.596976,0.050064,GALAXY
1237655125014676109,26.12196,0.8159325,21.31563,0.1015755,19.73108,0.06529845,18.73346,0.02323468,18.27806,0.06238163,5359438407725766656,0.5092857,0.0001267877,0.532259,0.026167,GALAXY
1237655370904895963,24.95116,1.370126,22.27721,0.16141,20.70675,0.06223965,19.66446,0.04107968,19.03121,0.08107205,7665382860090791936,0.6396085,0.0001498052,0.567828,0.031123,GALAXY
1237655473434460711,24.381,1.218888,22.51742,0.1666761,20.4082,0.03816798,19.52303,0.02513915,19.04411,0.06909392,5615065516844800000,0.4470986,0.000112551,0.489647,0.027539,GALAXY
1237655495442367400,23.97315,1.772693,21.79449,0.1520751,20.32639,0.05879344,19.30654,0.03843631,18.87905,0.09063157,4557862544333887488,0.5655547,0.0001698889,0.542332,0.030807,GALAXY
1237657189840585330,22.91492,0.835179,21.59444,0.1161629,20.05563,0.04163508,19.24263,0.03090463,19.06378,0.09640564,4760339257876568064,0.3823982,0.0001293591,0.459702,0.046084,GALAXY
1237657189840585330,22.91492,0.835179,21.59444,0.1161629,20.05563,0.04163508,19.24263,0.03090463,19.06378,0.09640564,4761554218510473216,0.3823455,0.0001220871,0.459702,0.046084,GALAXY
1237657855533187362,25.45317,1.262802,21.66366,0.1315096,20.06334,0.0447098,19.2754,0.03561675,18.91242,0.0975609,7542414853492987904,0.4524195,0.0001470237,0.459259,0.025913,GALAXY
1237657858214658188,20.7611,0.1450642,20.42467,0.04740218,19.95484,0.04854349,19.33602,0.04281751,18.70301,0.08507179,7536998658795132928,0.1647363,3.927013E-05,0.417526,0.178662,GALAXY
1237658203429929614,22.92069,0.4869426,21.9546,0.1131318,20.63208,0.0487241,19.38798,0.02537888,18.93879,0.06077371,7495244704394795008,0.6447768,0.0001814184,0.660932,0.061255,GALAXY
1237658204502032779,24.74356,1.02026,22.15307,0.1076232,20.47902,0.039345,19.56484,0.02543133,19.07055,0.06204741,8314897093568518144,0.5315188,0.0001194938,0.50663,0.025012,GALAXY
1237658204502033292,21.95948,0.3590282,21.11127,0.08023492,19.67512,0.03513532,18.68809,0.02208472,18.48178,0.069665,5282867043376584704,0.5300644,0.0002045051,0.549647,0.051414,GALAXY
1237658298462437841,22.4311,0.6325188,21.65636,0.1395317,20.14035,0.04838295,19.39074,0.03656634,18.86521,0.08179235,5465215824850868224,0.589377,0.0001798854,0.462668,0.052171,GALAXY
1237661387067228863,21.77786,0.3295649,21.77327,0.1532179,19.90624,0.0424858,18.89478,0.02444343,18.55445,0.06881771,7587610278650730496,0.507906,0.00011114,0.536122,0.030959,GALAXY
1237661465986270419,21.50992,0.2465597,21.87441,0.1296427,20.74475,0.07289287,19.77945,0.04835335,19.32478,0.1162964,5595887290193041408,0.6920112,0.0003041105,0.63456,0.069858,GALAXY
1237661465991447455,22.70316,0.5637535,22.6131,0.1931259,20.8769,0.06355689,19.84999,0.03957199,19.47831,0.09997939,5635320720135575552,0.5345862,0.0002011006,0.56827,0.038712,GALAXY
1237661465991840433,22.71107,0.7152309,21.43588,0.09112244,19.90036,0.0338846,19.10367,0.02503909,18.63113,0.05701588,5635178883135592448,0.4587787,0.000106985,0.47379,0.029824,GALAXY
1237661849859916230,23.15382,0.8545892,21.8657,0.1356582,20.17256,0.04290303,19.16008,0.0258703,18.69675,0.05945799,5297607921915680768,0.5276144,0.0001307643,0.542224,0.033607,GALAXY
1237661850924417552,22.73607,0.5503145,22.0031,0.1308612,20.4264,0.04952939,19.3345,0.02744598,18.85853,0.06599785,5215208320483481600,0.6128343,0.0001463432,0.57388,0.03726,GALAXY
1237661850935296104,22.964,1.225107,21.58549,0.1533352,19.94036,0.05457833,18.98435,0.03305602,18.71414,0.1001432,7452539672855861248,0.6369284,0.0001708573,0.533103,0.041071,GALAXY
1237661851474657610,24.19221,2.336664,21.51371,0.1128069,19.99335,0.04870104,18.94403,0.02798982,18.48975,0.07461242,7456837113985914880,0.5488098,0.0001362786,0.546894,0.026707,GALAXY
1237661872396829284,22.17251,0.4608855,21.18813,0.1008433,19.91286,0.04557304,19.10046,0.03185138,18.71222,0.09036157,5279434368275994624,0.5282353,0.0001311807,0.530714,0.039802,GALAXY
1237661970111857445,22.67867,0.5323064,21.80586,0.1177276,20.01515,0.03477584,19.2062,0.02409297,18.7027,0.052959,5440590612595496960,0.444196,0.0001173579,0.472567,0.020478,GALAXY
1237662267540112408,23.9152,0.7733973,22.26682,0.1089439,20.53886,0.03550656,19.64347,0.02499216,19.30744,0.07114105,5410191315697948672,0.5160409,0.0001236998,0.50677,0.030881,GALAXY
1237648702978982540,22.60374,0.6736515,20.89687,0.0734668,19.50617,0.03002801,18.7507,0.02227138,18.39083,0.0578393,4541992743808030720,0.5080674,5.622785E-05,0.420905,0.077847,GALAXY
1237648702978982540,22.60374,0.6736515,20.89687,0.0734668,19.50617,0.03002801,18.7507,0.02227138,18.39083,0.0578393,4546632128558028800,0.5079485,5.063158E-05,0.420905,0.077847,GALAXY
1237648704050365474,26.01491,0.4482257,21.82551,0.08644253,20.17612,0.0306736,19.33703,0.02162585,18.85323,0.05292087,4552044204147365888,0.4630208,7.43471E-05,0.47912,0.023276,GALAXY
1237651249880498614,24.46535,1.771958,22.46714,0.2766078,20.32072,0.05859146,19.31201,0.03508479,18.83416,0.08438352,6439089562975492096,0.5346189,0.0002126106,0.534144,0.029138,GALAXY
1237651249915167770,24.73701,1.591139,21.97868,0.1733338,20.14903,0.04815587,19.04639,0.02796821,18.69793,0.07584653,5647557184336451584,0.5408825,0.0001105418,0.559108,0.031952,GALAXY
1237651272427569230,24.67175,1.544371,21.26441,0.08237765,20.15573,0.04441737,19.09029,0.02917096,18.87312,0.08160066,6443739957186287616,0.2893681,0.0001223813,0.600743,0.057938,GALAXY
1237651504343482938,22.60804,0.4810997,21.63261,0.09747505,20.15677,0.03807648,19.36917,0.02984565,19.06658,0.09098778,4555583256779839488,0.4782215,0.0001623162,0.468858,0.049041,GALAXY
1237651504345646031,22.4518,1.06005,22.31466,0.4479454,20.13817,0.09801278,18.77394,0.043392,18.16273,0.1014937,4548656883280664576,0.7320967,0.0001998538,0.718172,0.033478,GALAXY
1237652900767138233,23.02038,0.8966955,22.1726,0.1664918,20.40085,0.05381936,19.48253,0.03606508,19.05084,0.1052538,7947811390760441856,0.4596503,0.0001411145,0.518686,0.0326,GALAXY
1237654387340149402,24.28578,1.482587,21.89919,0.1548358,20.31022,0.0489981,19.50597,0.03500184,19.16849,0.08640453,4282012117861947392,0.4850603,0.0001403856,0.474166,0.040129,GALAXY
1237654392175657862,23.32719,0.8294973,21.98793,0.1303169,20.20809,0.03669106,19.32576,0.02598857,19.03792,0.07258021,4132120095140108288,0.4580331,0.0001295427,0.492908,0.034,GALAXY
1237654398623875619,23.84546,1.319387,22.21709,0.1856334,20.65495,0.06414039,19.57086,0.04083057,19.08911,0.09986271,7673161904454653952,0.5329885,0.0001662281,0.570046,0.032644,GALAXY
1237654399700631920,25.0021,1.979144,21.24711,0.09493405,19.84936,0.04441691,19.05926,0.0337186,18.81173,0.1207673,7663082956240738304,0.5086305,0.0001079474,0.458731,0.061024,GALAXY
1237654599959380291,26.03105,0.6861694,21.72595,0.130787,19.93446,0.03459174,19.14664,0.02485193,18.63864,0.05305016,5371762838074578944,0.4708067,0.0001295958,0.456508,0.01977,GALAXY
1237654600487666433,24.49368,1.222002,22.26026,0.1646357,20.44495,0.04693539,19.57839,0.03014382,19.16705,0.06815828,5332481130972338176,0.4613533,0.0001332696,0.487234,0.025683,GALAXY
1237654601025192268,23.28656,0.7378038,22.09504,0.1303699,20.40167,0.04396326,19.55603,0.02950516,19.04989,0.06809539,5340305255950473216,0.491466,0.0001263329,0.488729,0.025739,GALAXY
1237654604236260481,22.93968,0.5540462,21.96988,0.1183805,20.51104,0.04083599,19.2557,0.02128528,18.86278,0.05149186,5389739852148529152,0.7174768,9.7305E-05,0.642207,0.052486,GALAXY
1237654604259197569,24.31906,1.685292,21.9199,0.1695007,20.3087,0.05424348,19.21047,0.02843451,18.67673,0.06108615,5365050040498018304,0.6275056,0.0001617975,0.569999,0.027015,GALAXY
1237654606389838424,22.19881,0.5719417,21.01762,0.09387957,19.76278,0.04164112,19.04957,0.03294816,18.65146,0.07776172,4301137573357836288,0.4602634,0.0001164718,0.473149,0.067105,GALAXY
1237654606390035055,24.81107,1.644785,21.54453,0.1157345,19.78154,0.03358574,18.86405,0.02281057,18.39654,0.04927496,4301174956753180672,0.5019932,0.0001360782,0.496015,0.021558,GALAXY
1237654606406091459,23.17382,0.5548787,22.60714,0.1708302,20.93775,0.05733094,19.71204,0.02855169,19.18899,0.05582106,5367168529090238464,0.5904074,0.0001486238,0.637717,0.045522,GALAXY
1237654606406091459,23.17382,0.5548787,22.60714,0.1708302,20.93775,0.05733094,19.71204,0.02855169,19.18899,0.05582106,5458497813335005184,0.5900015,0.0002009208,0.637717,0.045522,GALAXY
1237654610682380623,25.40598,0.8140435,23.65011,0.450125,21.42136,0.08212164,20.07965,0.03983741,19.71597,0.1038716,7681131444509628416,0.5624356,0.0001212858,0.703841,0.037716,GALAXY
1237654626789753475,25.02033,1.135019,21.84654,0.1286642,20.34765,0.05186262,19.25061,0.02860469,18.63468,0.06453297,4279798251132311552,0.5507506,0.0001284164,0.586864,0.034134,GALAXY
1237654627863823028,23.10518,1.643536,20.61979,0.09300292,19.41953,0.04848705,18.67614,0.03868012,18.2194,0.0890032,4280747679741663232,0.503622,0.0001460843,0.366599,0.115468,GALAXY
1237654627863823028,23.10518,1.643536,20.61979,0.09300292,19.41953,0.04848705,18.67614,0.03868012,18.2194,0.0890032,4280755925843990528,0.5037304,0.0001288637,0.366599,0.115468,GALAXY
1237654653639852709,23.04687,0.5247414,22.26932,0.1428803,20.78034,0.05198606,19.69395,0.0320714,19.33126,0.07734954,5809670281367934976,0.5429048,0.000148174,0.590023,0.049895,GALAXY
1237654653639852709,23.04687,0.5247414,22.26932,0.1428803,20.78034,0.05198606,19.69395,0.0320714,19.33126,0.07734954,7201354866882795520,0.542734,0.0001244227,0.590023,0.049895,GALAXY
1237654871603085834,23.41485,1.406197,21.27974,0.09739892,19.61093,0.03279899,18.68712,0.02225953,18.26073,0.05931579,4240309286054680576,0.4801295,7.30317E-05,0.503826,0.025455,GALAXY
1237654871603085834,23.41485,1.406197,21.27974,0.09739892,19.61093,0.03279899,18.68712,0.02225953,18.26073,0.05931579,4255905309191854080,0.4802379,7.997575E-05,0.503826,0.025455,GALAXY
1237654872140087772,25.32372,1.553337,22.09618,0.1959147,20.58147,0.07649928,19.57067,0.0449246,19.1243,0.1333789,4240329627019794432,0.4925681,0.0001015195,0.543848,0.030491,GALAXY
1237654875357905436,23.53444,1.214525,21.89796,0.1280532,20.64147,0.06494611,19.71597,0.04103701,19.28181,0.1005384,8008700147679909888,0.4199272,0.0001660017,0.55341,0.04936,GALAXY
1237654879122424813,24.1801,1.327257,22.9567,0.3044683,20.9782,0.07289467,19.88177,0.03888049,19.49278,0.09651814,5388575190900037632,0.5466412,0.0001936289,0.579067,0.028888,GALAXY
1237654879668733018,26.25246,0.5832189,22.74208,0.2759531,20.90402,0.07882461,19.85635,0.04369082,19.17584,0.08309462,4518440654884591616,0.6990178,0.0001610641,0.573386,0.034869,GALAXY
1237654879668733018,26.25246,0.5832189,22.74208,0.2759531,20.90402,0.07882461,19.85635,0.04369082,19.17584,0.08309462,5377364845237917696,0.6990959,0.0002164389,0.573386,0.034869,GALAXY
1237654880203834145,23.45426,1.135497,21.61423,0.1058815,20.05688,0.038553,19.1157,0.02376937,18.57499,0.05541445,5379589982800599040,0.5721939,8.857713E-05,0.526968,0.030054,GALAXY
1237654880729366890,22.87341,1.036816,21.42928,0.1181537,20.07216,0.04724898,19.17677,0.03003208,18.92017,0.1066253,5359455999911811072,0.5137328,0.0001931571,0.536742,0.050895,GALAXY
1237654880729366890,22.87341,1.036816,21.42928,0.1181537,20.07216,0.04724898,19.17677,0.03003208,18.92017,0.1066253,5447127759079102464,0.5137754,0.0001491864,0.536742,0.050895,GALAXY
1237654880736838431,26.79158,0.6009482,22.44098,0.3208483,20.7543,0.09274817,19.53432,0.0449126,18.9502,0.1137274,5384287920235763712,0.7255788,0.0002073801,0.635002,0.043708,GALAXY
1237654881271874208,24.70248,1.222414,22.38087,0.1533353,20.89,0.05970023,19.8652,0.03541531,19.43504,0.07642415,5386565558958577664,0.5495781,0.0001857342,0.560612,0.038834,GALAXY
1237654881271874208,24.70248,1.222414,22.38087,0.1533353,20.89,0.05970023,19.8652,0.03541531,19.43504,0.07642415,5475319237248833536,0.5502336,0.0001565676,0.560612,0.038834,GALAXY
