objID,dered_u,err_u,dered_g,err_g,dered_r,err_r,dered_i,err_i,dered_z,err_z,specObjID,z,zErr,photoZ,photoErr,class,subClass
1237648673971437623,16.21378,0.009346957,14.63972,0.002319479,13.82659,0.002070897,13.42598,0.002082886,13.11843,0.003380219,326652842548946944,0.01251297,1.123234E-05,0.024331,0.00674,GALAXY,STARFORMING
1237648704023625805,20.21892,0.1158159,24.9198,2.818639,17.53619,0.00878203,17.03932,0.00823418,16.88227,0.02572844,299565818625157120,0.09826267,7.773009E-06,-9999,-9999,GALAXY,STARFORMING
1237648704023625805,20.21892,0.1158159,24.9198,2.818639,17.53619,0.00878203,17.03932,0.00823418,16.88227,0.02572844,299566367911208960,0.09823761,9.63587E-06,-9999,-9999,GALAXY,STARFORMING
1237648704579437220,22.93833,0.825781,21.15927,0.08471988,19.41586,0.02819337,18.46311,0.01780237,18.04901,0.04979886,326642946944296960,0.5040943,0.0001185456,0.507916,0.015943,GALAXY,
1237648704579502224,19.89147,0.05659683,18.27204,0.008137292,17.39907,0.006014395,16.98018,0.005778826,16.66573,0.01475515,326639098653599744,0.1072157,3.110492E-05,0.11837,0.024215,GALAXY,
1237648704579567785,19.08693,0.02720238,17.54254,0.005148185,16.8533,0.004339425,16.43679,0.004290631,16.17545,0.00922081,326647894746621952,0.1083665,1.011836E-05,0.082863,0.019864,GALAXY,STARFORMING
1237648704579633362,19.07533,0.03355549,17.13385,0.004711389,16.1942,0.003570075,15.77002,0.003486425,15.4134,0.00701155,326647619868715008,0.09052185,2.080613E-05,0.087439,0.008374,GALAXY,
1237648704579633407,19.92186,0.05659068,17.99068,0.006981262,16.97938,0.004810918,16.53897,0.004649464,16.16368,0.01017192,326645695723366400,0.114395,2.437616E-05,0.11834,0.009392,GALAXY,
1237648704579698823,19.65328,0.06889916,18.31434,0.01159852,17.31272,0.007569255,16.86457,0.007364339,16.56511,0.02055517,326644871089645568,0.2245167,2.94951E-05,0.197922,0.019024,GALAXY,
1237648704579698833,20.959,0.152475,18.69881,0.012109,17.38476,0.006468227,16.86185,0.005961791,16.51877,0.01496203,326645420845459456,0.1895325,4.061836E-05,0.207035,0.011653,GALAXY,
