objID,type,dered_u,err_u,dered_g,err_g,dered_r,err_r,dered_i,err_i,dered_z,err_z,z,zErr,zWarning,class,subClass,photoZ,photoErr
1237666407364034563,3,18.37099,0.01872044,18.17716,0.007071971,17.94103,0.007170994,17.57295,0.006907258,17.67575,0.01759454,0.1877541,5.167878E-05,0,QSO,STARBURST,0.180382,0.018494
1237666408437252225,3,19.09342,0.03802963,18.91374,0.01187831,18.50261,0.01133766,18.29398,0.01185205,17.95224,0.03192954,0.257975,4.823486E-05,0,QSO,STARBURST BROADLINE,0.322941,0.054499
1237651190287368342,3,16.44339,0.01235981,14.6388,0.002377243,13.80747,0.002060606,13.42701,0.001999981,13.08497,0.003002812,0.02501559,1.414874E-05,0,QSO,STARBURST BROADLINE,0.033015,0.007018
1237656537517850664,3,16.99231,0.01531618,16.22189,0.004096977,15.69035,0.003571116,15.33566,0.003644137,15.12238,0.007573585,0.06562798,2.934219E-05,0,QSO,STARBURST BROADLINE,0.062303,0.012752
1237658297925304396,3,18.47868,0.02026204,17.35675,0.005228479,16.68778,0.004141772,16.1938,0.003882914,15.96838,0.007547802,0.06961288,1.461662E-05,0,QSO,BROADLINE,0.099445,0.01821
1237661418751328367,3,19.56456,0.03583774,19.46848,0.01296568,18.84632,0.01082066,18.7344,0.01383234,17.9721,0.02572191,0.274901,6.254573E-05,0,QSO,STARBURST BROADLINE,0.272112,0.090204
1237661850387283993,3,17.70338,0.01669975,17.01769,0.004952168,16.46153,0.004351955,16.01201,0.00428556,15.74664,0.008587246,0.1196788,4.647263E-05,0,QSO,STARBURST BROADLINE,0.035824,0.027113
1237651714260074761,3,19.39364,0.03912355,18.97133,0.01274994,18.25616,0.01044056,17.89866,0.01091144,17.44483,0.02488234,0.2786711,2.324898E-05,0,QSO,STARBURST BROADLINE,0.316982,0.026069
1237651714797731948,3,19.15318,0.02367065,18.91147,0.009436158,18.9988,0.01188096,18.7637,0.01348559,18.73989,0.04762798,0.5724639,0.0003041097,0,QSO,BROADLINE,0.313284,0.047462
1237651715871277066,3,18.56986,0.02197224,17.98161,0.006956846,17.28037,0.005630339,16.78218,0.005798217,16.55279,0.01296287,0.1273684,5.567892E-05,0,QSO,STARBURST BROADLINE,0.156368,0.031608
1237652946382946437,3,18.90676,0.04947433,17.82442,0.009043388,17.11912,0.006926014,16.73021,0.007674624,16.46708,0.02165621,0.1262274,2.785156E-05,0,QSO,STARBURST BROADLINE,0.14476,0.023537
1237653651307430031,3,19.5683,0.03737178,19.29371,0.01413716,18.95616,0.01356959,18.79356,0.01547879,18.37709,0.0342068,0.3829727,6.077988E-05,0,QSO,BROADLINE,0.321511,0.056633
1237654030330232835,3,17.01042,0.009294127,16.62081,0.003865151,16.39244,0.003956391,15.85841,0.004073073,15.74551,0.008877812,0.09332947,3.255815E-05,0,QSO,BROADLINE,0.096014,0.019285
1237655108907630840,3,20.02442,0.04674116,19.55184,0.01640687,18.80957,0.011803,18.47062,0.01226904,18.00345,0.02440911,0.2933263,4.560623E-05,0,QSO,STARBURST BROADLINE,0.329844,0.03569
1237655349963522191,3,19.4007,0.03557459,19.15929,0.01201081,18.90861,0.01294819,18.61535,0.01508676,18.2929,0.03924603,0.415121,7.006938E-05,0,QSO,BROADLINE,0.456385,0.127313
1237655464840986865,3,19.56417,0.03493332,19.20055,0.01149009,19.10786,0.01394359,18.73689,0.01377119,18.58676,0.04595247,0.5333236,6.605102E-05,0,QSO,BROADLINE,0.458834,0.089282
1237657591933042738,3,17.63138,0.01463175,16.97569,0.004267298,16.53275,0.004037536,16.13686,0.004265213,15.99785,0.00897662,0.09002344,1.711136E-05,0,QSO,STARBURST BROADLINE,0.140995,0.024262
1237658918529597443,3,18.7153,0.02028071,18.54691,0.008584705,18.10734,0.007573229,17.75183,0.007714431,17.71895,0.01840626,0.2113695,2.817215E-05,0,QSO,STARBURST BROADLINE,0.215364,0.033796
1237661433779912865,3,19.53766,0.02825985,19.22326,0.01069945,18.83254,0.01035942,18.74122,0.01243207,18.25129,0.0244452,0.3126592,7.626863E-05,0,QSO,STARBURST BROADLINE,0.3055,0.053804
1237662193455857746,3,18.93181,0.02264037,18.90212,0.01085358,18.62158,0.009820139,18.61709,0.01225498,18.09838,0.02938514,0.2788993,3.133454E-05,0,QSO,STARBURST BROADLINE,0.347879,0.065819
1237662193455857822,3,20.05297,0.04971337,19.62348,0.01819349,18.96445,0.01333714,18.57961,0.01264769,18.35962,0.03860598,0.1472747,5.071276E-05,0,QSO,null,0.27581,0.064808
1237663784215969973,3,19.23815,0.03603779,18.71472,0.01065571,18.15891,0.009045821,17.79724,0.008829742,17.69112,0.02627773,0.1856383,3.700064E-05,0,QSO,STARBURST BROADLINE,0.20539,0.02753
1237674367528927672,3,20.08664,0.0724889,18.98135,0.01373414,18.13599,0.009240249,17.71191,0.009116647,17.48984,0.02047197,0.125562,1.720013E-05,0,QSO,AGN BROADLINE,0.201102,0.022946
1237651066281132176,3,19.37879,0.03135056,19.22241,0.01230266,18.87165,0.01198957,18.79119,0.01442592,18.27058,0.03298137,0.3343579,3.119426E-05,0,QSO,BROADLINE,0.358468,0.078663
1237651540318093457,3,18.93964,0.02993422,18.32599,0.008416844,17.65303,0.006900858,17.23425,0.00701299,17.06887,0.01839587,0.1987167,4.710564E-05,0,QSO,BROADLINE,0.193201,0.024962
