objID,type,dered_u,err_u,dered_g,err_g,dered_r,err_r,dered_i,err_i,dered_z,err_z,z,zErr,zWarning,class,subClass,photoZ,photoErr
1237657071693529222,3,20.20859,0.05399704,19.94133,0.0187802,19.46924,0.01653854,19.20119,0.01888083,18.74663,0.03996055,0.3532389,3.255333E-05,0,QSO,STARBURST BROADLINE,0.374328,0.071731
1237661069793689727,3,19.96748,0.0600064,18.73046,0.01052067,17.63312,0.00710587,17.10469,0.006932837,16.79757,0.01810246,0.2301038,2.330996E-05,0,QSO,STARBURST BROADLINE,0.218814,0.020596
1237651250440306700,3,20.32051,0.05977405,19.72441,0.0169734,18.946,0.01322534,18.41894,0.01097275,18.30537,0.03050032,0.1866291,9.322263E-05,0,QSO,null,0.326385,0.073164
1237661949707026700,3,20.33905,0.08794914,19.64072,0.02005472,18.93249,0.01576755,18.50327,0.01432998,18.27906,0.04042011,0.186023,3.837578E-05,0,QSO,STARBURST BROADLINE,0.219245,0.032032
1237663204918099976,3,18.58224,0.03551281,17.89731,0.009363274,17.15022,0.007185598,16.75294,0.007816816,16.49885,0.01919947,0.1490598,3.274271E-05,0,QSO,STARBURST BROADLINE,0.181114,0.028108
1237648722312560710,3,18.22981,0.02077683,17.57589,0.006390082,16.87779,0.005099011,16.46476,0.005229565,16.24235,0.01181203,0.1796777,3.053779E-05,0,QSO,STARBURST BROADLINE,0.155802,0.031141
1237661064412856456,3,20.01082,0.08059593,18.39432,0.009754519,17.49491,0.006709138,16.96251,0.006075341,16.63829,0.01257242,0.1124575,3.08617E-05,0,QSO,BROADLINE,0.122862,0.027275
1237660344469815390,3,19.33513,0.04052176,18.19007,0.008289242,17.47669,0.007069323,17.03579,0.007602965,16.78414,0.01776213,0.1002776,2.804019E-05,0,QSO,STARBURST BROADLINE,0.149567,0.024838
1237663278465745048,3,19.54605,0.03394232,19.18228,0.01149932,18.69224,0.01022086,18.42635,0.01138435,18.07949,0.02688937,0.3872736,0.0001111179,0,QSO,BROADLINE,0.340571,0.055993
1237657610729226425,3,19.92655,0.0396184,19.80109,0.01684172,19.2673,0.01573271,18.85675,0.01608912,18.68962,0.04388042,0.2343275,3.936651E-05,0,QSO,STARBURST BROADLINE,0.498662,0.119278
1237661069262258294,3,19.20047,0.02926905,18.57317,0.008306974,18.15371,0.008076272,17.77037,0.008551043,17.71563,0.02529936,0.1429666,2.341324E-05,0,QSO,STARBURST BROADLINE,0.167078,0.028212
1237654601033908310,3,19.10809,0.02873306,18.99246,0.01203919,18.48085,0.009861963,18.18851,0.009832725,17.68843,0.02026938,0.3269689,4.310476E-05,0,QSO,BROADLINE,0.334834,0.035482
1237662264324849826,3,18.95519,0.02323202,18.75172,0.009283085,18.41565,0.008839586,18.35978,0.01086137,17.8578,0.02069392,0.3073508,4.829607E-05,0,QSO,STARBURST BROADLINE,0.315778,0.053524
