objID,dered_u,err_u,dered_g,err_g,dered_r,err_r,dered_i,err_i,dered_z,err_z,specObjID,z,zErr,photoZ,photoErr,class,subClass
1237645943976493287,20.84448,0.1303248,19.64851,0.02095301,18.90195,0.01472427,18.57236,0.01462478,18.3926,0.03761294,465166568435771392,0.2267228,1.456155E-05,0.189332,0.040355,GALAXY,
1237645943976493287,20.84448,0.1303248,19.64851,0.02095301,18.90195,0.01472427,18.57236,0.01462478,18.3926,0.03761294,465166016868018176,0.2267069,1.026231E-05,0.189332,0.040355,GALAXY,STARBURST
1237648702967120032,22.09538,0.5974431,19.73476,0.03747334,18.13614,0.0137891,17.52015,0.01162752,17.19025,0.03003375,324294391097223168,0.3264291,8.891398E-05,0.304924,0.012385,GALAXY,
1237648702967185504,19.39214,0.03333359,18.64558,0.009449295,18.18419,0.008522273,17.88324,0.009147417,17.81432,0.02679873,324281471835596800,0.1572003,5.526448E-06,0.186188,0.021494,GALAXY,STARBURST
1237648702967185624,25.35351,2.084694,19.84473,0.04096418,18.14697,0.01387758,17.58136,0.01253509,17.28439,0.03251449,324286144760014848,0.3271875,7.087456E-05,0.324495,0.021505,GALAXY,
1237648702983373066,19.74516,0.03712236,19.1085,0.01122616,18.78428,0.0108747,18.38274,0.01073246,18.39174,0.03124143,346802487958726656,0.1454929,7.540124E-06,0.118928,0.024329,GALAXY,STARBURST
1237648702983438616,20.08752,0.04574974,19.41846,0.01320309,18.98844,0.01234179,18.61406,0.01233337,18.58824,0.03682008,346790393330821120,0.2189149,7.6938E-06,0.161207,0.02873,GALAXY,STARBURST
1237648702983504486,25.43269,0.9389653,21.36084,0.08273304,19.51918,0.02525953,18.64756,0.01734055,18.17514,0.03817896,346789568697100288,0.4733231,0.0001949208,0.482359,0.01602,GALAXY,
1237648703503925282,20.7375,0.07869767,22.8493,0.22063,20.86868,0.05421478,20.06869,0.03647754,17.70635,0.01767045,324294940853037056,0.1568007,2.975017E-05,-9999,-9999,GALAXY,
1237648703518736788,22.5754,0.6563936,19.59152,0.02168482,18.04575,0.009552006,17.49265,0.008148027,17.12609,0.01841201,345731838527956992,0.2833726,5.932819E-05,0.283276,0.014962,GALAXY,
1237648703518933624,22.3599,0.4818286,20.94137,0.0648606,19.02187,0.01900779,18.31655,0.01455386,17.87554,0.03255069,345726066091911168,0.3699127,0.0001151477,0.40413,0.024023,GALAXY,
1237648703520637151,19.44114,0.03544455,18.59688,0.009225539,18.3289,0.009556052,18.0265,0.009863445,17.97248,0.02814705,346794516499425280,0.09990314,8.107724E-06,0.091404,0.017671,GALAXY,STARBURST
