objID,dered_u,err_u,dered_g,err_g,dered_r,err_r,dered_i,err_i,dered_z,err_z,specObjID,z,zErr,photoZ,photoErr,class,subClass
1237648720165601832,22.25345,0.4333362,21.29363,0.09427585,19.56474,0.02890958,18.90511,0.02397919,18.46235,0.05735984,333336769103685632,0.3336627,7.304226E-05,0.38972,0.036808,GALAXY,
1237648720165601832,22.25345,0.4333362,21.29363,0.09427585,19.56474,0.02890958,18.90511,0.02397919,18.46235,0.05735984,333336217888253952,0.3334275,0.0001390659,0.38972,0.036808,GALAXY,
1237648720165601832,22.25345,0.4333362,21.29363,0.09427585,19.56474,0.02890958,18.90511,0.02397919,18.46235,0.05735984,333335400066082816,0.3335968,7.682553E-05,0.38972,0.036808,GALAXY,
1237648722284577064,25.12468,1.095475,21.30856,0.08147223,19.5262,0.02384606,18.88785,0.02153973,18.50625,0.0504812,528097116183095296,0.4014693,0.000108146,0.376952,0.028266,GALAXY,
1237648722821185986,22.91185,1.107763,21.07635,0.09891506,19.51383,0.03569195,18.74544,0.02796394,18.32136,0.068653,528144670060996608,0.4564739,0.0001138627,0.450298,0.031836,GALAXY,
1237648722821841322,26.11517,0.9557297,21.4485,0.1498466,19.59509,0.03812156,18.80922,0.03026845,18.30941,0.07019703,528200745154013184,0.4796902,0.000198351,0.455627,0.022251,GALAXY,
1237650370478735415,24.45268,0.8266327,22.28407,0.1087465,20.40787,0.03176463,19.80242,0.02792614,19.3514,0.06816769,368277884797741056,0.3668935,0.0001304368,0.39751,0.033996,GALAXY,
1237650371015541440,25.75912,0.887184,22.07426,0.1614192,20.39118,0.05822889,19.39095,0.03597825,19.06402,0.1084334,368267164559370240,0.4761121,0.0001746114,0.538128,0.036204,GALAXY,
1237650371015868835,23.02324,0.6472093,21.39356,0.07902948,19.71621,0.02737362,18.99241,0.02143366,18.60373,0.06332016,368289704547739648,0.4488756,0.000174785,0.425199,0.024854,GALAXY,
1237650795677942677,22.83434,0.5702092,21.23237,0.07029398,19.50827,0.02289031,18.9205,0.0197696,18.44088,0.05028339,528116632514488320,0.3293629,5.954584E-05,0.370896,0.027595,GALAXY,
1237650796214486053,24.09685,1.093057,21.58353,0.08400146,19.88741,0.02942375,19.15008,0.02222217,18.66231,0.05729501,528125703485417472,0.457912,0.0001315438,0.44807,0.024104,GALAXY,
1237651211214258227,20.89866,0.07438318,25.04304,0.9627323,20.00582,0.02651826,19.63547,0.0295732,17.19153,0.01193857,399773661764020224,0.1255052,2.172686E-05,0.729355,0.058805,GALAXY,
1237651211214324013,21.07005,0.103328,20.61039,0.03374671,20.5936,0.04677604,20.55972,0.0678141,20.78368,0.2934045,399773936641927168,0.03019006,5.804865E-06,0.305518,0.121525,GALAXY,STARBURST
