objID,type,dered_u,err_u,dered_g,err_g,dered_r,err_r,dered_i,err_i,dered_z,err_z,z,zErr,zWarning,class,subClass,photoZ,photoErr
1237648720146268354,3,17.80464,0.01872524,16.67552,0.004510762,16.36181,0.004394799,16.13664,0.004915938,16.02057,0.01319352,0.05422141,5.880288E-06,0,GALAXY,STARFORMING,0.04471,0.00922
1237648720146399393,3,17.96809,0.02354349,16.69108,0.005056407,16.13634,0.004370289,15.80356,0.00458213,15.57883,0.0109315,0.06133536,1.197131E-05,0,GALAXY,STARFORMING,0.059973,0.014557
1237648720146399418,3,19.87306,0.06211133,17.92803,0.007739225,17.03555,0.005410844,16.62686,0.005391648,16.30203,0.01158921,0.08627163,2.365854E-05,0,GALAXY,null,0.081916,0.010474
1237648721756553480,3,19.5743,0.04371021,18.16958,0.007883647,17.38573,0.0060666,16.98359,0.006080749,16.67232,0.014908,0.09520418,8.484698E-06,0,GALAXY,STARFORMING,0.11861,0.018483
1237651800162697402,3,18.13051,0.03247817,16.64005,0.005187458,15.91664,0.004188578,15.5178,0.0040074,15.22912,0.008951834,0.07159074,1.006031E-05,0,GALAXY,STARFORMING,0.06431,0.020548
1237651800699961546,3,18.59882,0.04306471,17.57362,0.008664683,17.14261,0.009119668,16.85946,0.01006155,16.71986,0.02862458,0.06251474,7.916973E-06,0,GALAXY,STARFORMING,0.079094,0.020465
1237651801236504823,3,19.03795,0.06071135,17.9129,0.009806902,17.51873,0.01219348,17.26495,0.01310653,17.18115,0.0408826,0.06146437,9.198839E-06,0,GALAXY,STARFORMING,0.052494,0.021904
1237648674512044173,3,19.75043,0.06358254,18.47255,0.01072357,17.55679,0.008085988,17.11293,0.007986852,16.82755,0.02274335,0.2121309,1.472109E-05,0,GALAXY,null,0.19145,0.017206
1237648702972690576,3,19.67331,0.04533653,18.41624,0.00921844,17.59985,0.006578042,17.13002,0.006276232,16.82439,0.0144613,0.1856458,9.363225E-06,0,GALAXY,null,0.156177,0.025521
1237648702972690583,3,20.50384,0.08467436,18.58024,0.009998261,17.51048,0.006146259,17.07344,0.005986935,16.70774,0.01315283,0.1367642,3.851743E-05,0,GALAXY,null,0.140246,0.009234
1237648702972690624,3,20.60759,0.09792738,18.70625,0.011281,17.63531,0.006825152,17.17194,0.006569362,16.80933,0.01472375,0.1372757,3.718065E-05,0,GALAXY,null,0.14368,0.014142
1237648703509561460,3,20.21556,0.0785293,18.14687,0.008138207,17.1489,0.005454994,16.73043,0.005158902,16.34905,0.01067408,0.1191652,2.650701E-05,0,GALAXY,null,0.114646,0.010273
1237648703509561482,3,19.51778,0.04353834,17.65596,0.006067604,16.71557,0.004363054,16.25496,0.004066967,15.98197,0.008274612,0.08436722,1.774624E-05,0,GALAXY,null,0.110823,0.025734
1237648703509561482,3,19.51778,0.04353834,17.65596,0.006067604,16.71557,0.004363054,16.25496,0.004066967,15.98197,0.008274612,0.08440087,1.551601E-05,0,GALAXY,null,0.110823,0.025734
1237648705133871604,3,19.07329,0.03854143,17.76666,0.006861361,17.04637,0.005303631,16.63314,0.005425007,16.33734,0.01177001,0.1028107,1.049541E-05,0,GALAXY,STARFORMING,0.111786,0.019256
1237648705656848518,3,19.13553,0.03932248,17.54219,0.005686885,16.71404,0.004382594,16.31416,0.004415133,16.02038,0.009662837,0.09284145,1.68698E-05,0,GALAXY,AGN BROADLINE,0.093679,0.016358
1237648705657307367,3,19.45817,0.07115308,18.0573,0.01033621,17.421,0.008318382,17.0032,0.008604176,16.76641,0.02296983,0.07542162,9.309316E-06,0,GALAXY,STARFORMING,0.095101,0.024203
1237648705657372841,3,18.19481,0.03689407,16.30771,0.004277068,15.42858,0.003194128,15.01604,0.003250619,14.69549,0.006739311,0.07105324,2.069336E-05,0,GALAXY,null,0.069572,0.007858
1237648705670676959,3,19.04138,0.06190589,17.9904,0.0112996,17.61226,0.01126143,17.43507,0.01411621,17.25045,0.04229595,0.03750645,1.033767E-05,0,GALAXY,STARFORMING,0.028766,0.010936
1237648721757143184,3,18.84437,0.03197928,17.59254,0.006617073,16.91151,0.005418706,16.54086,0.005517734,16.29193,0.01424163,0.09771555,6.575265E-06,0,GALAXY,STARFORMING,0.11832,0.020699
1237648721789059226,3,19.22623,0.04749633,17.30281,0.005655386,16.28281,0.00398064,15.84798,0.003898464,15.49456,0.008678311,0.1188553,2.119092E-05,0,GALAXY,null,0.120993,0.009224
1237648722312364222,3,19.57132,0.0561152,17.68889,0.007013884,16.94774,0.005722426,16.48785,0.005409099,16.16638,0.01130099,0.07200517,8.654963E-06,0,GALAXY,STARFORMING,0.082084,0.021143
1237648722312495178,3,19.15154,0.05338052,17.83828,0.009254016,17.3483,0.008614026,17.03215,0.009670053,16.84526,0.02623294,0.07302982,1.150368E-05,0,GALAXY,STARFORMING,0.073951,0.01657
1237648722849235057,3,17.58214,0.01905363,16.49244,0.004004066,16.14508,0.003957284,15.95042,0.004547718,15.84549,0.0121095,0.02890294,6.337993E-06,0,GALAXY,STARFORMING,0.031229,0.009046
1237651801236766995,3,19.81462,0.0903037,18.34403,0.01234828,17.63786,0.00988728,17.19501,0.009679087,16.92391,0.02967565,0.09406938,1.192162E-05,0,GALAXY,STARFORMING,0.097195,0.026742
1237655468062343589,3,18.78492,0.05182732,17.21865,0.006427075,16.38241,0.004672358,15.9595,0.004508222,15.6382,0.009642011,0.1061244,2.497707E-05,0,GALAXY,null,0.094391,0.020274
1237648704061636688,3,19.15245,0.06041086,17.09083,0.006115524,16.11521,0.004126255,15.66656,0.00394519,15.34771,0.008577418,0.08780144,2.076436E-05,0,GALAXY,null,0.092358,0.010617
1237651211211571394,3,19.06128,0.0327263,17.26226,0.004885762,16.39191,0.003743785,15.98037,0.003739613,15.66485,0.007387376,0.07906394,9.236175E-06,0,GALAXY,null,0.076554,0.013268
1237651735778754824,3,19.26229,0.07022174,18.04179,0.01097231,17.58093,0.0107135,17.31589,0.01252284,17.12432,0.03816518,0.05180103,1.055625E-05,0,GALAXY,STARFORMING,0.063879,0.022474
1237657071693922441,3,19.11787,0.05129167,17.89241,0.008636551,17.47233,0.008568929,17.18042,0.008365232,17.03294,0.02389679,0.07243408,7.773235E-06,0,GALAXY,STARFORMING,0.071884,0.015446
1237660024494424346,3,19.19375,0.04886153,17.17619,0.005551027,16.23079,0.003957759,15.79183,0.003841856,15.44891,0.007372044,0.08892774,2.203925E-05,0,GALAXY,null,0.089611,0.010168
1237663479261036795,3,18.14207,0.03167279,16.20821,0.003779532,15.25655,0.002886628,14.83881,0.002800331,14.49245,0.00543476,0.09017377,2.006212E-05,0,GALAXY,null,0.089585,0.009636
1237663479798038978,3,19.03053,0.07307664,17.96231,0.01312012,17.59732,0.01301501,17.30841,0.01535066,17.26118,0.04572217,0.0508679,1.637587E-05,0,GALAXY,STARFORMING,0.080277,0.01831
1237663480335761516,3,19.24165,0.07231686,17.44824,0.007167422,16.48754,0.004814862,16.03516,0.004709752,15.65339,0.009878029,0.1285773,2.984506E-05,0,GALAXY,null,0.103096,0.01263
1237663543687184581,3,19.50052,0.05305581,17.5722,0.005960242,16.73861,0.004741033,16.35227,0.004619784,16.03274,0.01002617,0.07612658,1.939426E-05,0,GALAXY,null,0.065713,0.010897
1237663544223531289,3,19.86633,0.05288015,18.14583,0.007728155,17.33351,0.005851825,16.97164,0.006046182,16.68981,0.01144878,0.08867954,2.87948E-05,0,GALAXY,null,0.077742,0.020435
1237663544223662318,3,18.98046,0.03147473,17.9956,0.007315273,17.5459,0.006805802,17.18444,0.007100369,17.07578,0.01725315,0.1086934,6.924421E-06,0,GALAXY,STARBURST,0.108353,0.023327
1237663785281323207,3,20.33986,0.09018394,18.4208,0.009393231,17.39495,0.006134761,16.9787,0.006100142,16.66421,0.01311961,0.1355732,3.025786E-05,0,GALAXY,null,0.137,0.012497
1237663785281323285,3,19.30157,0.0492953,18.04441,0.008178242,17.37046,0.006600174,16.97814,0.006788201,16.72742,0.01668594,0.1234585,1.175499E-05,0,GALAXY,STARFORMING,0.113129,0.021107
1237663785281388643,3,19.96282,0.09045573,18.06412,0.009300084,16.96479,0.005699945,16.50105,0.005582778,16.15716,0.01190627,0.136189,3.006997E-05,0,GALAXY,null,0.149301,0.009059
1237666407360823478,3,19.27919,0.07379732,18.20269,0.01182225,17.12119,0.006982093,16.66107,0.006349414,16.30597,0.01320541,0.2124017,5.480824E-05,0,GALAXY,null,0.220767,0.026944
1237666407361020112,3,19.25629,0.05910258,17.34871,0.006051734,16.48877,0.004438054,16.09677,0.004273427,15.77876,0.007958761,0.0817297,2.282626E-05,0,GALAXY,null,0.068822,0.010277
1237648702974066845,3,19.90026,0.0587966,18.4433,0.009835052,17.76091,0.007725332,17.34528,0.007630671,17.07197,0.01888837,0.08532061,8.34713E-06,0,GALAXY,STARFORMING,0.092834,0.024953
1237648703512183215,3,18.14537,0.04113959,16.7099,0.006501707,16.21512,0.006708716,15.98796,0.006772297,15.87149,0.02057927,0.02182075,3.12239E-05,0,GALAXY,null,0.028621,0.012394
1237648704584941683,3,19.88206,0.05872439,18.09825,0.007670409,17.28901,0.005900271,16.89916,0.005901326,16.60823,0.01498566,0.07085626,3.16057E-05,0,GALAXY,null,0.067563,0.011941
1237648704585859292,3,19.72159,0.04789158,18.37399,0.008251227,17.60481,0.006464384,17.17031,0.006284815,16.91462,0.01726078,0.1444571,9.964811E-06,0,GALAXY,STARFORMING,0.137568,0.028038
1237648705121812702,3,18.84504,0.03747842,17.7735,0.00831768,17.42603,0.008468925,17.14676,0.009806931,16.99548,0.02665339,0.07523114,7.129554E-06,0,GALAXY,STARFORMING,0.068255,0.014696
1237648705659207818,3,20.13903,0.0707081,18.4364,0.009073902,17.56141,0.006519733,17.17468,0.006733531,16.87243,0.01529351,0.08513261,2.897716E-05,0,GALAXY,null,0.091081,0.015788
1237648720152559636,3,18.21626,0.02582263,16.40025,0.004112502,15.55792,0.003195825,15.14441,0.003195149,14.84802,0.006357033,0.07705034,2.118325E-05,0,GALAXY,null,0.064615,0.011558
1237648720166125653,3,19.31904,0.0359803,17.84689,0.006640333,17.03097,0.005059778,16.58027,0.004878523,16.29518,0.0104931,0.09531277,7.191795E-06,0,GALAXY,STARFORMING,0.122914,0.023572
1237648721222566033,3,20.04362,0.06720583,18.24287,0.008796473,17.23255,0.005822064,16.82894,0.005843652,16.48042,0.01377907,0.1273135,2.175846E-05,0,GALAXY,null,0.131197,0.013305
1237648721225122031,3,18.92142,0.04876717,17.42535,0.00753156,16.74617,0.006227553,16.4243,0.006967105,16.19919,0.02124834,0.09088492,2.29402E-05,0,GALAXY,null,0.048765,0.023592
1237648721758978188,3,20.63758,0.08680682,18.57087,0.009190698,17.47511,0.006010323,16.99431,0.005717766,16.58541,0.01273055,0.1288183,3.618203E-05,0,GALAXY,null,0.138036,0.012389
1237648721759764679,3,19.87181,0.0598511,17.8895,0.006895271,16.94815,0.005056853,16.50723,0.004960589,16.12963,0.01125626,0.09403174,1.670161E-05,0,GALAXY,null,0.089884,0.011285
1237648721759961372,3,18.48273,0.02939433,17.34898,0.00645557,16.90078,0.006083787,16.66871,0.007951811,16.51868,0.0274042,0.03750507,8.82437E-06,0,GALAXY,STARFORMING,0.034499,0.013929
1237648722296045781,3,19.19895,0.04156742,18.1453,0.04037823,17.40631,0.007607637,16.98718,0.007229219,16.76299,0.0175626,0.125153,6.881721E-06,0,GALAXY,STARBURST,0.180419,0.026965
1237648722298667141,3,20.21202,0.06854985,18.52026,0.009827216,17.52502,0.006608614,17.09578,0.006821146,16.81991,0.01528931,0.1615666,3.056904E-05,0,GALAXY,BROADLINE,0.161227,0.026376
1237648722298732703,3,16.00026,0.01062324,14.15987,0.002087816,13.3359,0.001854723,12.94829,0.001893804,12.63073,0.002891767,0.03947056,1.113434E-05,0,GALAXY,null,0.014065,0.006649
1237650371551952981,3,18.67182,0.02509372,17.74052,0.006320938,17.24165,0.005694384,16.88677,0.006134585,16.70808,0.01431935,0.073873,5.833236E-06,0,GALAXY,STARBURST,0.117903,0.025926
1237650760776745126,3,19.70214,0.07157976,17.86174,0.007857993,16.86485,0.005318101,16.44086,0.004980871,16.04191,0.01034553,0.1193873,2.31879E-05,0,GALAXY,null,0.109839,0.0112
1237650761850749122,3,20.15143,0.08429383,18.40598,0.009647595,17.72318,0.007795419,17.37247,0.008144743,17.12703,0.02447128,0.04123225,2.746573E-05,0,GALAXY,null,0.074887,0.030456
1237650762386833578,3,18.8424,0.05253474,17.70743,0.009843441,17.1268,0.008019121,16.80768,0.009263852,16.6411,0.02615968,0.09710925,1.449199E-05,0,GALAXY,STARFORMING,0.103457,0.022128
1237650762387423340,3,18.78329,0.04812039,17.44027,0.007554146,16.73963,0.006060582,16.37396,0.006594227,16.10224,0.01617683,0.1051225,2.066084E-05,0,GALAXY,STARFORMING,0.097644,0.022779
1237650762923507985,3,19.26309,0.07800888,17.96998,0.01065749,17.5223,0.01021761,17.20761,0.01158844,17.09487,0.03748148,0.0740535,1.25049E-05,0,GALAXY,STARFORMING,0.074368,0.014684
1237650762924228710,3,17.73214,0.02412516,16.59985,0.004596634,16.16778,0.004371461,15.89387,0.004910582,15.72081,0.01331509,0.04546319,1.084176E-05,0,GALAXY,STARFORMING,0.051772,0.010249
1237650762924818552,3,18.21507,0.0532061,16.08053,0.004511483,15.17609,0.003289821,14.70866,0.003289552,14.33148,0.006848797,0.06060966,1.764956E-05,0,GALAXY,null,0.053657,0.013197
1237651204232183951,3,18.99722,0.0540564,17.95119,0.008908205,17.43737,0.00821708,17.10789,0.008699233,16.94781,0.02945988,0.1108399,1.080788E-05,0,GALAXY,STARFORMING,0.108349,0.020622
1237651204232249465,3,15.72241,0.01010856,14.01782,0.002308195,13.1101,0.001860087,12.65499,0.001842591,12.31174,0.002503206,0.01842461,7.37179E-06,0,GALAXY,AGN,-9999,-9999
1237651503806218249,3,16.43171,0.01338052,15.38371,0.003379317,15.00545,0.003298549,14.70844,0.003459803,14.53776,0.008610518,0.0542658,8.491754E-06,0,GALAXY,STARFORMING,0.046085,0.006677
1237651503806218249,3,16.43171,0.01338052,15.38371,0.003379317,15.00545,0.003298549,14.70844,0.003459803,14.53776,0.008610518,0.05423963,7.572558E-06,0,GALAXY,STARFORMING,0.046085,0.006677
1237651503806349594,3,18.60958,0.03497899,17.62285,0.007212369,17.32493,0.007692419,17.09752,0.009007672,17.02494,0.0296826,0.08631964,5.735567E-06,0,GALAXY,STARFORMING,0.057697,0.015339
1237651503806677188,3,18.15938,0.03390039,17.01609,0.006514643,16.58892,0.006258194,16.40021,0.007515334,16.31111,0.0294291,0.02198944,7.781863E-06,0,GALAXY,STARFORMING,0.022055,0.008611
1237651504343023980,3,18.2088,0.03909287,17.3046,0.009696865,16.93839,0.01169147,16.7679,0.01510873,16.74041,0.05595545,0.01719038,1.618214E-05,0,GALAXY,STARFORMING,0.023789,0.014056
1237651505952915574,3,20.49557,0.09624194,18.61931,0.0102237,17.62846,0.006860868,17.21427,0.007308432,16.89361,0.01761181,0.1077062,2.849944E-05,0,GALAXY,null,0.126441,0.014633
1237651505953046724,3,19.61786,0.05851637,17.68965,0.006584485,16.79501,0.004836081,16.40565,0.005101278,16.06827,0.01113551,0.07779838,2.100281E-05,0,GALAXY,null,0.083351,0.01118
1237651505953177736,3,19.4533,0.04195227,17.93828,0.006549702,17.19114,0.005196872,16.7868,0.005489694,16.49921,0.01263679,0.08204842,1.622458E-05,0,GALAXY,STARFORMING,0.091346,0.02063
1237651505953702030,3,18.96703,0.03992543,16.96932,0.004729824,16.06925,0.00354675,15.64342,0.003610766,15.29714,0.007224678,0.07886361,2.5602E-05,0,GALAXY,null,0.070311,0.007718
