objID,type,dered_u,err_u,dered_g,err_g,dered_r,err_r,dered_i,err_i,dered_z,err_z,z,zErr,zWarning,class,subClass,photoZ,photoErr
1237667107964059994,3,19.14665,0.04255175,18.01715,0.008233985,17.39453,0.00735309,17.00409,0.007466597,16.85641,0.02281036,0.1907431,1.194206E-05,0,GALAXY,STARBURST,0.14422,0.026946
1237659162273644771,3,18.67741,0.05306713,17.0981,0.007614656,16.40739,0.005788096,16.03506,0.005946325,15.74409,0.0160969,0.08147584,1.655303E-05,0,GALAXY,STARFORMING,0.0638,0.021013
1237658492812787850,3,20.20969,0.0911682,18.45586,0.009712925,17.64484,0.007430333,17.19775,0.006701282,16.86672,0.01610723,0.0647053,1.796163E-05,0,GALAXY,STARFORMING,0.088891,0.025775
1237662474236723494,3,19.12979,0.09094311,17.60516,0.01089199,16.96834,0.008156397,16.65428,0.008856535,16.42171,0.02854014,0.0580278,4.456378E-05,0,GALAXY,null,0.044818,0.021365
1237668299277402225,3,19.13715,0.05669215,17.72644,0.007489616,17.23448,0.006801073,16.89653,0.007364528,16.69554,0.0204051,0.08675112,9.567712E-06,0,GALAXY,STARFORMING,0.071907,0.017355
1237665350245286053,3,19.21694,0.03833612,18.08203,0.008308499,17.62239,0.007346624,17.33508,0.00802979,17.06834,0.0207677,0.05141794,8.69171E-06,0,GALAXY,STARFORMING,0.066728,0.025456
1237656567047192907,3,19.69975,0.07603345,18.62956,0.01391902,18.33409,0.01345178,18.12039,0.01606668,18.05563,0.05272602,0.090033,6.920705E-06,0,GALAXY,STARFORMING,0.059429,0.021031
1237674602680156369,3,19.89571,0.08434322,18.14389,0.009227299,17.12926,0.006054017,16.68365,0.005907284,16.29058,0.01324924,0.1262398,5.314275E-05,0,GALAXY,null,0.124955,0.011684
1237657608576172131,3,18.91711,0.04082151,17.38006,0.005921525,16.59749,0.004369943,16.15188,0.004255962,15.81379,0.008021479,0.07094019,9.393799E-06,0,GALAXY,STARFORMING,0.070876,0.02024
1237663785279357204,3,19.2658,0.04296164,17.91898,0.007270881,17.20823,0.005758717,16.80841,0.005764042,16.54778,0.01240568,0.09142471,1.216426E-05,0,GALAXY,STARFORMING,0.113648,0.022921
1237663543151427891,3,19.6471,0.06956782,18.57375,0.01258084,18.1406,0.01245994,17.81,0.01254109,17.6801,0.03932221,0.08473736,8.107285E-06,0,GALAXY,STARFORMING,0.09582,0.023955
1237664837543788692,3,19.62173,0.07704176,18.21213,0.01044636,17.35686,0.007507958,16.91898,0.007148306,16.58811,0.01542229,0.0929798,2.033209E-05,0,GALAXY,null,0.135133,0.022548
1237667549276995703,3,19.29022,0.03991916,17.97247,0.007360439,17.08299,0.005221502,16.64952,0.005241296,16.30352,0.01138704,0.1577265,1.974744E-05,0,GALAXY,STARFORMING,0.150544,0.017047
1237663716019405005,3,19.42898,0.05545828,18.06479,0.009489024,17.31874,0.007249466,16.89714,0.007426684,16.63062,0.01688896,0.1134184,1.155455E-05,0,GALAXY,STARFORMING,0.119089,0.021013
