objID,type,dered_u,err_u,dered_g,err_g,dered_r,err_r,dered_i,err_i,dered_z,err_z,z,zErr,zWarning,class,subClass,photoZ,photoErr
1237663546900939055,3,20.33301,0.09963258,18.43218,0.009855771,17.41769,0.006950562,16.99363,0.006648414,16.65267,0.014051,0.1011568,3.026466E-05,0,GALAXY,null,0.12753,0.009965
1237668298745446544,3,19.39996,0.05083929,17.65341,0.006833224,16.8644,0.005096889,16.4642,0.005299152,16.18765,0.01089957,0.06370994,1.607956E-05,0,GALAXY,BROADLINE,0.071948,0.016341
1237665350244565121,3,19.23314,0.03877987,17.92038,0.007370865,17.25499,0.005747866,16.86195,0.005991074,16.6277,0.01485828,0.1124259,9.624027E-06,0,GALAXY,STARFORMING,0.102263,0.020662
1237678620107014164,3,19.42108,0.07433604,17.19355,0.00565948,16.23645,0.004069845,15.80425,0.004130546,15.44513,0.008142584,0.09716405,1.756394E-05,0,GALAXY,null,0.085961,0.010409
1237662663205847190,3,18.46932,0.0298161,16.93652,0.00448192,16.17397,0.003828618,15.80632,0.003865797,15.52341,0.009415047,0.06639611,1.40915E-05,0,GALAXY,STARFORMING,0.07579,0.024072
1237665103290302703,3,19.02546,0.03740417,17.99904,0.007444822,17.69389,0.007409064,17.44372,0.008550991,17.32249,0.02231303,0.0885331,6.527371E-06,0,GALAXY,STARFORMING,0.059695,0.014443
1237663783142097108,3,19.50822,0.04395303,18.50255,0.009874593,18.02479,0.00904364,17.75228,0.009675206,17.62193,0.02516845,0.1508424,7.279974E-06,0,GALAXY,STARBURST,0.123351,0.031284
1237667783929036971,3,19.38591,0.07355394,17.9944,0.009207722,17.19335,0.007185285,16.7745,0.007562188,16.51104,0.01903226,0.08991997,1.18414E-05,0,GALAXY,STARFORMING,0.13945,0.024007
1237665129098182835,3,19.60719,0.04491727,18.24162,0.007487376,17.55428,0.00619696,17.13035,0.006508708,16.86945,0.01470094,0.07273549,8.175575E-06,0,GALAXY,STARFORMING,0.09499,0.022643
1237680071249887577,3,18.73477,0.04375836,17.06721,0.005749063,16.19569,0.004229615,15.76393,0.004154584,15.44458,0.007624011,0.1075921,1.356909E-05,0,GALAXY,STARFORMING,0.096668,0.018726
1237661125607293516,3,17.32228,0.01910936,15.41064,0.002734919,14.53336,0.002292279,14.12954,0.002257254,13.78764,0.004068708,0.04497276,1.177025E-05,0,GALAXY,BROADLINE,0.04735,0.010692
1237657877538013262,3,19.55837,0.0689944,17.86988,0.009638937,17.04933,0.006237996,16.60447,0.005889548,16.2763,0.01231338,0.07830349,2.038698E-05,0,GALAXY,null,0.081774,0.021555
