objID,type,dered_u,err_u,dered_g,err_g,dered_r,err_r,dered_i,err_i,dered_z,err_z,z,zErr,zWarning,class,subClass
1237661965823442950,6,18.63038,0.01833224,18.36245,0.007279126,18.07706,0.007073741,18.05631,0.008239508,17.99668,0.02029321,1.129017,0.0004337121,0,QSO,BROADLINE
1237657628449767811,6,20.24334,0.0485283,20.32485,0.02044785,20.49688,0.03059041,19.97845,0.02847777,19.99342,0.09069113,1.880933,0.0003838113,0,QSO,BROADLINE
1237664837004230803,6,20.27895,0.04970591,20.06977,0.01842748,19.84067,0.01850906,19.7916,0.02345184,19.6275,0.05743785,1.095284,0.0004600815,0,QSO,BROADLINE
1237658204524052620,6,20.17488,0.0442397,19.96921,0.01841501,19.79788,0.01968241,19.52687,0.02045729,19.42746,0.06825114,1.659573,0.000438792,0,QSO,BROADLINE
1237678660884693055,6,20.13939,0.05930945,19.95205,0.01883279,19.62147,0.01863483,19.45412,0.02150475,19.45219,0.07003281,1.554105,0.0002647818,0,QSO,BROADLINE
1237679009316798679,6,20.36084,0.07917105,19.56286,0.01674088,19.40428,0.01674579,19.44095,0.02427497,19.49284,0.08289807,2.643804,0.0004284899,0,QSO,BROADLINE
1237662500011049226,6,20.04207,0.05552727,19.58909,0.01565915,19.51557,0.01865096,19.44179,0.02292183,19.14314,0.07238399,2.277794,0.0003193962,0,QSO,BROADLINE
1237661958834815113,6,19.39493,0.0278322,19.03702,0.009450653,18.79182,0.009856476,18.61049,0.01074706,18.63861,0.03212345,1.586286,0.0003325418,0,QSO,BROADLINE
1237662301914071616,6,19.34741,0.03319308,19.2286,0.01227426,18.86587,0.01105056,18.95191,0.01419527,19.06956,0.04463299,1.320468,0.0006122054,0,QSO,BROADLINE
1237664094511890662,6,19.24339,0.02751378,19.06354,0.009956214,18.74047,0.009552443,18.78083,0.01262463,18.82564,0.03531465,1.084372,0.0002051983,0,QSO,BROADLINE
1237662303514919022,6,19.81776,0.04218328,19.65513,0.01395711,19.053,0.01162018,18.51939,0.01082883,18.30395,0.02445446,1.938253,0.0005915497,0,QSO,BROADLINE
1237680477657432412,6,20.13722,0.05418637,19.87196,0.01704826,19.67661,0.01936659,19.48641,0.02205687,19.41051,0.06924255,1.494513,0.0004141978,0,QSO,BROADLINE
1237661417138618600,6,19.71836,0.03494904,19.53175,0.01274923,19.46297,0.01535671,19.13527,0.01634905,19.27623,0.06636614,1.651517,0.0002620293,0,QSO,BROADLINE
1237678907320500544,6,20.31666,0.07893053,20.4095,0.02851057,20.22328,0.03650871,19.92154,0.03824984,19.69394,0.09476052,1.922558,0.0004788558,0,QSO,BROADLINE
1237673808656334933,6,19.94476,0.04924817,19.31123,0.01245396,19.3167,0.01537651,19.19469,0.01926105,18.94159,0.05746401,2.32058,0.0001676612,0,QSO,BROADLINE
1237648721787224287,6,20.46719,0.05240216,18.93731,0.009236583,18.35159,0.007846834,17.85405,0.007299358,17.57639,0.01683673,2.985591,0.0004579814,0,QSO,BROADLINE
1237648721247863063,6,20.52631,0.05036974,19.69518,0.01431452,19.59899,0.01572702,19.52781,0.01973543,19.19881,0.06119413,2.351409,0.0004928228,0,QSO,BROADLINE
1237678859020009549,6,20.31491,0.06802972,19.82104,0.01732991,19.75936,0.02064487,19.53405,0.02236638,19.79229,0.09945853,1.567585,0.0006270217,0,QSO,BROADLINE
1237678619560378621,6,20.21662,0.05160167,19.84772,0.01572971,19.31409,0.01292666,18.99179,0.01412169,18.89763,0.03580017,1.43759,0.0002862898,0,QSO,BROADLINE
1237663543685349554,6,19.71198,0.03781305,19.64218,0.01394023,19.69556,0.01754738,19.42783,0.01825803,19.2707,0.05816615,1.960947,0.0002454477,0,QSO,BROADLINE
1237650369936556185,6,20.56585,0.07098595,19.87263,0.01870276,19.85802,0.02223391,19.72914,0.02553724,19.45558,0.07212655,2.300166,0.0002297969,0,QSO,BROADLINE
1237668296595996709,6,18.4132,0.01664296,18.51024,0.008050933,18.51052,0.008929704,18.24068,0.009302652,18.1806,0.02253935,1.901043,0.0001776633,0,QSO,BROADLINE
1237661382235127982,6,20.00127,0.03623899,19.99904,0.01614556,19.78471,0.017738,19.81071,0.02089213,19.66227,0.05135551,1.050364,0.0002373464,0,QSO,BROADLINE
1237648705665630480,6,19.52162,0.03071614,19.19825,0.01041562,19.17875,0.01315219,19.05953,0.01556041,18.79664,0.04116381,2.154608,0.0003068173,0,QSO,BROADLINE
1237665356693897548,6,19.36343,0.0262355,19.3387,0.01134307,19.17604,0.01168023,19.14524,0.01495923,19.22888,0.04362035,1.357564,0.0002483815,0,QSO,BROADLINE
1237662504827879586,6,20.20604,0.04484965,20.18446,0.01920849,20.15318,0.02360345,19.99829,0.02985599,19.70401,0.07616204,2.14122,0.0003312081,0,QSO,BROADLINE
1237661418213408872,6,19.95547,0.03874706,19.85202,0.01525281,19.61405,0.01706685,19.55356,0.02350352,19.46855,0.06641126,1.351905,0.0004980351,0,QSO,BROADLINE
1237659163347714199,6,18.7895,0.01787967,18.73818,0.008242651,18.73893,0.009255849,18.54724,0.0104689,18.41797,0.02441359,1.988813,0.0003196617,0,QSO,BROADLINE
1237664836471292224,6,21.03318,0.08909181,20.30181,0.02064695,20.22693,0.02379066,20.18347,0.0280565,19.77644,0.07379451,2.397492,0.0003770418,0,QSO,BROADLINE
1237668270844149917,6,18.80936,0.02156769,18.86233,0.009790572,18.58883,0.009401578,18.5448,0.01123398,18.57241,0.03306527,1.396692,0.0002473488,0,QSO,BROADLINE
1237657776081994000,6,20.71547,0.05097973,20.23641,0.01734901,20.34032,0.02249736,20.46168,0.03686748,20.10356,0.09277458,2.424736,0.0005543435,0,QSO,BROADLINE
1237651252576911489,6,20.28928,0.05500447,19.70882,0.01438095,19.68784,0.01777387,19.63574,0.02283662,19.42381,0.06111458,2.301763,0.0001989749,0,QSO,BROADLINE
1237678617960448111,6,18.0878,0.01396641,17.44221,0.005293064,17.39411,0.005749987,17.31252,0.006317477,17.03103,0.01070394,2.294634,0.00035727,0,QSO,BROADLINE
1237656567574299551,6,19.67236,0.04087846,19.7495,0.0176111,19.81669,0.02153091,19.6582,0.02488049,19.64655,0.07932967,1.925034,0.0006845763,0,QSO,BROADLINE
1237653652913258629,6,20.1328,0.04705865,19.88103,0.01859465,19.24959,0.01408246,18.94986,0.01561106,18.7806,0.0392305,1.335853,0.0006984314,0,QSO,BROADLINE
1237662193449042026,6,19.57925,0.03047532,18.69525,0.008540131,18.57409,0.009044329,18.49245,0.01036992,18.27979,0.02507602,2.669162,0.0001695236,0,QSO,BROADLINE
1237667733954887995,6,20.91557,0.07891555,20.38456,0.02470697,20.25485,0.02689808,20.13294,0.03176015,20.07616,0.09731895,2.34417,0.0002913637,0,QSO,BROADLINE
1237671768535662881,6,19.94374,0.04034252,19.81076,0.01388872,19.60637,0.01534232,19.1973,0.01541694,19.09274,0.04651053,1.950645,0.0004892104,0,QSO,BROADLINE
1237651066813612138,6,19.76989,0.03560599,19.56409,0.01310299,19.30858,0.01372668,19.119,0.01592382,19.23822,0.05696473,1.511376,0.0004290401,0,QSO,BROADLINE
1237680478735761575,6,19.49763,0.0389205,19.36124,0.01255337,19.44324,0.01708695,19.3023,0.01892009,19.38585,0.07051821,1.838621,0.0004202581,0,QSO,BROADLINE
1237663784214790253,6,18.76603,0.0200027,18.71653,0.008187496,18.6456,0.00936732,18.38388,0.009627456,18.31384,0.02583265,1.748104,0.0001678644,0,QSO,BROADLINE
1237680475518861740,6,19.24578,0.03645115,19.05891,0.01097166,18.78882,0.01150929,18.68474,0.01425174,18.6278,0.03993586,1.119371,0.0002551679,0,QSO,BROADLINE
1237665329325539399,6,20.30129,0.05793195,19.85639,0.01616476,19.8758,0.02184301,19.69284,0.02765697,19.47665,0.07615829,2.200588,0.0001910406,0,QSO,BROADLINE
1237651755092607173,6,19.61847,0.03827705,19.07339,0.01086242,18.9949,0.01251901,18.96153,0.01707002,18.73071,0.04580852,2.370505,0.0003521674,0,QSO,BROADLINE
1237678879413240131,6,20.28501,0.0525367,20.2045,0.01994041,20.14599,0.0230494,19.97613,0.02702484,19.87218,0.0899137,1.807196,0.0005821344,0,QSO,BROADLINE
1237658205581607047,6,19.7405,0.03027068,19.70528,0.01331152,19.71535,0.01585228,19.51596,0.01900175,19.28422,0.04540119,2.030383,0.0002841972,0,QSO,BROADLINE
1237667446191554622,6,18.89658,0.02059571,18.94187,0.009571405,18.85695,0.01053834,18.95251,0.01456464,18.98774,0.0494267,1.047144,0.0003941458,0,QSO,BROADLINE
