objID,type,dered_u,err_u,dered_g,err_g,dered_r,err_r,dered_i,err_i,dered_z,err_z,specObjID,z,zErr,photoZ,photoErr,class,subClass
1237648674511061237,3,19.39969,0.03384698,18.99676,0.01167125,18.33599,0.02986734,18.15625,0.0116567,17.63346,0.02829516,330059680216803328,0.3305398,4.204625E-05,0.311372,0.039852,QSO,BROADLINE
1237648674511061237,3,19.39969,0.03384698,18.99676,0.01167125,18.33599,0.02986734,18.15625,0.0116567,17.63346,0.02829516,330062423878821888,0.3304223,4.222701E-05,0.311372,0.039852,QSO,BROADLINE
1237648704046104604,3,21.97143,0.2792242,23.34353,0.4302881,20.29609,0.04672126,22.31474,0.407171,20.64658,0.3418932,331061884931303424,0.3045104,0.2919239,-9999,-9999,QSO,
1237648720144957634,3,19.38884,0.03285984,19.23855,0.01488577,18.63334,0.01167343,18.16413,0.01116565,18.05535,0.03308319,304049356846163968,0.2277851,4.717502E-05,0.253067,0.060277,QSO,BROADLINE
1237648720678617208,3,18.9736,0.02748877,18.67062,0.01034907,18.21364,0.00920894,17.76821,0.008689915,17.62885,0.02330494,535946806484297728,0.1531141,4.504322E-05,0.171573,0.037086,QSO,STARBURST BROADLINE
1237648720678617208,3,18.9736,0.02748877,18.67062,0.01034907,18.21364,0.00920894,17.76821,0.008689915,17.62885,0.02330494,535947635933079552,0.1532382,3.473596E-05,0.171573,0.037086,QSO,STARBURST BROADLINE
1237648720682287303,3,19.10451,0.02607178,18.67289,0.009505089,18.19016,0.008378394,18.02315,0.00913467,17.5683,0.01978347,304010324183377920,0.3584977,6.360634E-05,0.286059,0.040347,QSO,STARBURST BROADLINE
1237648720716497389,3,20.84896,0.1029378,20.54867,0.03327415,20.29444,0.036383,19.78116,0.03095373,19.61868,0.09721956,352445456694929408,0.5785384,4.769956E-05,0.756784,0.153393,QSO,BROADLINE
1237648721219092777,3,19.78967,0.03601996,19.24214,0.01271626,18.73304,0.01076813,18.5745,0.01240321,18.1817,0.03077364,304024892712445952,0.2765018,6.224306E-05,0.294442,0.045215,QSO,BROADLINE
1237648722291851359,3,18.67249,0.01885688,18.4145,0.007947668,18.01122,0.007203353,17.68377,0.007680029,17.61088,0.01893413,303014441543297024,0.2140629,8.558991E-05,0.187219,0.033661,QSO,BROADLINE
1237648722291851359,3,18.67249,0.01885688,18.4145,0.007947668,18.01122,0.007203353,17.68377,0.007680029,17.61088,0.01893413,303015260657313792,0.2139779,5.082115E-05,0.187219,0.033661,QSO,BROADLINE
1237649920574423236,3,20.04971,0.05448159,19.65935,0.01872277,19.00971,0.01543018,18.73597,0.01666622,18.37822,0.03442275,471869190479833088,0.3161712,5.036975E-05,0.339236,0.050859,QSO,STARBURST
1237649920574423236,3,20.04971,0.05448159,19.65935,0.01872277,19.00971,0.01543018,18.73597,0.01666622,18.37822,0.03442275,471870288867387392,0.3161295,4.963849E-05,0.339236,0.050859,QSO,STARBURST
1237649920574423236,3,20.04971,0.05448159,19.65935,0.01872277,19.00971,0.01543018,18.73597,0.01666622,18.37822,0.03442275,471870289806911488,0.3161421,4.441374E-05,0.339236,0.050859,QSO,STARFORMING
1237651191894048981,3,19.54188,0.04047238,19.30423,0.01650927,19.10463,0.01697096,18.84277,0.01998343,18.48747,0.03920257,501144237224519680,0.4185206,5.807704E-05,0.455279,0.146946,QSO,BROADLINE
1237651250948473042,3,21.4683,0.2730639,19.95963,0.03697753,18.39113,0.01464969,17.66071,0.01106524,17.20478,0.02758132,501165952579168256,0.4032024,3.952763E-05,0.375674,0.061024,QSO,BROADLINE
1237651251484819616,3,19.89708,0.0428616,19.60571,0.01533367,19.20122,0.01516636,18.89136,0.01543025,18.4285,0.03675064,501097233102432256,0.3747908,9.162967E-05,0.405905,0.080306,QSO,BROADLINE
1237651251485343938,3,19.43026,0.03632965,19.02347,0.01215461,18.50153,0.01114123,18.24065,0.01189448,17.92282,0.03290924,501140663811729408,0.2724262,3.094926E-05,0.304721,0.041381,QSO,STARBURST BROADLINE
1237651252021756105,3,18.87764,0.02233315,18.78529,0.009741741,18.4232,0.009267321,18.3104,0.01119226,17.93802,0.02347083,501109602608244736,0.2862419,4.241976E-05,0.337243,0.053968,QSO,BROADLINE
1237651298721268138,3,19.99791,0.07119364,19.53012,0.02056922,18.61894,0.01324397,18.13881,0.0123267,17.86106,0.03618753,394176596195436544,0.1809933,4.886697E-05,0.300897,0.0576,QSO,STARBURST BROADLINE
1237651736308941046,3,19.50929,0.03738425,19.29273,0.0133742,18.9796,0.0131087,18.57059,0.0133549,18.16054,0.03425748,601335861996447744,0.4006044,3.06608E-05,0.50655,0.125657,QSO,BROADLINE
1237651736309072022,3,19.79229,0.04674535,19.46987,0.01554743,18.86198,0.01252382,18.66174,0.0144294,18.26399,0.03826575,601349605891794944,0.2685088,5.567761E-05,0.342795,0.043569,QSO,BROADLINE
1237651737356730463,3,19.42838,0.0343788,19.12853,0.01233233,19.05457,0.01410366,18.67888,0.01458065,18.10633,0.02875725,566473921726015488,0.4129286,6.311151E-05,0.41227,0.192281,QSO,BROADLINE
1237651753994027149,3,19.73728,0.05186912,19.20593,0.0139657,18.67348,0.01209068,18.28276,0.01199502,18.12954,0.0367059,534965491316320256,0.2347481,2.569019E-05,0.190027,0.029844,QSO,STARBURST BROADLINE
1237651754531160209,3,19.59042,0.04611502,19.51636,0.01887436,18.88496,0.01498159,18.54825,0.01630179,18.0525,0.03501922,534971263752366080,0.2863321,9.887978E-05,0.347583,0.038608,QSO,
1237651821098696857,3,19.4665,0.04344945,19.02021,0.01434682,18.5058,0.01201896,18.1102,0.01279466,17.95594,0.03904283,601355928083654656,0.1658976,5.760543E-05,0.196637,0.042342,QSO,STARBURST BROADLINE
1237653665255522659,3,19.44913,0.04453586,18.93141,0.01275512,18.19856,0.009436253,17.72866,0.009308618,17.53819,0.02798093,534941576938416128,0.2249645,2.985427E-05,0.200576,0.02348,QSO,STARBURST BROADLINE
1237653665255915747,3,20.47972,0.07944919,19.96834,0.02509369,19.01972,0.01556566,18.63707,0.01648113,18.21298,0.04912747,534975386920970240,0.328621,2.923558E-05,0.343233,0.041654,QSO,STARBURST BROADLINE
1237653665260896319,3,19.50018,0.03509586,19.25178,0.01344606,18.80992,0.01282434,18.61931,0.01518045,18.31205,0.04592492,566448632958576640,0.2860993,2.805645E-05,0.351447,0.04946,QSO,STARBURST BROADLINE
1237654668663324688,3,18.59656,0.02065865,18.48232,0.008843981,18.13203,0.008157577,17.73977,0.008242431,17.71912,0.0249811,304015821741516800,0.2005561,3.916128E-05,0.180503,0.033687,QSO,BROADLINE
1237655693017678161,3,19.11611,0.02903179,19.06394,0.01200877,18.63462,0.01032606,18.52085,0.0115943,17.95515,0.02003106,352473494241437696,0.3210577,2.325363E-05,0.347309,0.057684,QSO,STARBURST BROADLINE
1237657070088814694,3,19.11759,0.0275759,19.0193,0.01084649,18.69082,0.01055322,18.57066,0.01198928,18.20469,0.02634702,457176697498789888,0.2750242,7.98543E-05,0.345605,0.056666,QSO,STARBURST BROADLINE
1237657070088814694,3,19.11759,0.0275759,19.0193,0.01084649,18.69082,0.01055322,18.57066,0.01198928,18.20469,0.02634702,457177240191395840,0.2748527,6.116083E-05,0.345605,0.056666,QSO,STARBURST BROADLINE
1237657070088814694,3,19.11759,0.0275759,19.0193,0.01084649,18.69082,0.01055322,18.57066,0.01198928,18.20469,0.02634702,457180264720787456,0.2746809,4.916839E-05,0.345605,0.056666,QSO,STARBURST BROADLINE
1237657070088814694,3,19.11759,0.0275759,19.0193,0.01084649,18.69082,0.01055322,18.57066,0.01198928,18.20469,0.02634702,457180265240881152,0.2746527,4.632752E-05,0.345605,0.056666,QSO,STARBURST BROADLINE
1237657070088814694,3,19.11759,0.0275759,19.0193,0.01084649,18.69082,0.01055322,18.57066,0.01198928,18.20469,0.02634702,457180814594041856,0.2747898,5.689503E-05,0.345605,0.056666,QSO,STARBURST BROADLINE
1237657070625620045,3,19.18896,0.02812457,18.97968,0.01036139,18.5131,0.009468964,18.34526,0.01035946,18.0587,0.02509771,457190435320784896,0.2694552,4.549179E-05,0.339744,0.031513,QSO,STARBURST BROADLINE
1237657070625620045,3,19.18896,0.02812457,18.97968,0.01036139,18.5131,0.009468964,18.34526,0.01035946,18.0587,0.02509771,457190709208836096,0.2694375,5.646574E-05,0.339744,0.031513,QSO,STARBURST BROADLINE
1237657070625620045,3,19.18896,0.02812457,18.97968,0.01036139,18.5131,0.009468964,18.34526,0.01035946,18.0587,0.02509771,457190716272044032,0.2693952,5.00251E-05,0.339744,0.031513,QSO,STARBURST BROADLINE
1237657070625620045,3,19.18896,0.02812457,18.97968,0.01036139,18.5131,0.009468964,18.34526,0.01035946,18.0587,0.02509771,457192084470786048,0.2694448,5.467205E-05,0.339744,0.031513,QSO,BROADLINE
1237657070625620045,3,19.18896,0.02812457,18.97968,0.01036139,18.5131,0.009468964,18.34526,0.01035946,18.0587,0.02509771,457192084990879744,0.2694212,5.795455E-05,0.339744,0.031513,QSO,BROADLINE
1237663277922648152,3,19.48148,0.03299471,19.29171,0.01283886,18.8386,0.01100519,18.67187,0.0134635,18.19304,0.02712875,430200997265041408,0.2850304,5.852645E-05,0.336516,0.035018,QSO,BROADLINE
1237663277923172751,3,19.32668,0.02934724,19.16115,0.01169305,18.891,0.0111852,18.72648,0.01353883,18.37425,0.02944153,430232333346433024,0.3762631,7.821993E-05,0.318512,0.058095,QSO,BROADLINE
1237663278459715968,3,22.69196,0.3951965,21.24529,0.04838844,20.28229,0.02989885,19.88647,0.03227194,19.32356,0.07186174,430197973608065024,0.2978059,0.0003715816,0.358316,0.109451,QSO,
