objID,type,dered_u,err_u,dered_g,err_g,dered_r,err_r,dered_i,err_i,dered_z,err_z,specObjID,z,zErr,photoZ,photoErr,class,subClass
1237651754547872307,3,22.33604,0.3047721,21.40658,0.0603997,20.55824,0.0400538,20.31869,0.05266805,19.63184,0.09713755,582217004509849600,0.3067044,4.488318E-05,0.34775,0.121248,QSO,BROADLINE
1237653586333663895,3,22.03863,0.3803532,20.96766,0.07871266,19.75011,0.0369524,19.32446,0.03771659,18.95063,0.09369292,854636132434995200,1.038203,1.155581,0.344024,0.066303,QSO,
1237653653453931073,3,22.28126,0.3065154,21.45144,0.06713729,20.70505,0.04908121,20.24545,0.0477348,19.70863,0.09954168,476425565692258304,0.3773628,5.342622E-05,0.440809,0.15497,QSO,STARBURST BROADLINE
1237654652026356228,3,21.94521,0.3034939,21.13775,0.06756141,19.83204,0.03086442,19.17701,0.02513397,18.70702,0.0574514,854732889458239488,0.4064735,4.297882E-05,0.434081,0.077303,QSO,
1237656906354459176,3,22.66845,0.4162821,21.12908,0.0479435,20.11927,0.02967385,19.81107,0.03314858,19.19931,0.06996991,434601242329638912,0.3473224,3.779143E-05,0.320202,0.102507,QSO,AGN BROADLINE
1237657190906528094,3,20.68367,0.07927692,20.2561,0.02389913,20.03949,0.02685113,19.61657,0.02493742,19.46335,0.08086243,773569419426162688,0.5673684,8.353514E-05,0.546755,0.194673,QSO,
1237657190907511038,3,20.48799,0.06460226,20.12949,0.0206765,19.82987,0.02100872,19.57535,0.02212014,19.12314,0.05451554,773502624094775296,0.3969853,0.0002838545,0.47771,0.182407,QSO,BROADLINE
1237657190908035358,3,20.87046,0.08421594,20.28974,0.02333871,19.71608,0.01966145,19.32701,0.01953476,19.14725,0.05698756,1224988493634103296,0.1569941,8.047348E-05,0.293164,0.07724,QSO,BROADLINE
1237657191980138785,3,22.66623,0.6022753,22.77814,0.2974755,20.59007,0.06714626,19.36244,0.03494865,18.90881,0.07612874,772518011448879104,6.291061,0.0027346,0.63565,0.033523,QSO,
1237657191980400984,3,20.84771,0.0740032,20.40963,0.02364575,20.23442,0.02584928,19.97463,0.02966907,19.73214,0.0786247,772535328757016576,0.7006352,0.0003602637,0.50513,0.1688,QSO,
1237657192518844717,3,20.39628,0.05794998,20.10062,0.01864898,19.98801,0.02171502,19.98724,0.03057906,19.81753,0.09011597,1223977217831233536,0.873145,0.0002269793,0.2704,0.175174,QSO,BROADLINE
1237659161733824928,3,20.63193,0.06275664,20.28326,0.0202441,20.33061,0.02702312,20.02059,0.0295563,19.7394,0.07858036,1498628072872634368,0.589633,0.0001042639,0.615265,0.225777,QSO,BROADLINE
1237659163880129297,3,22.76155,0.5576917,21.78092,0.09002923,20.23524,0.03799908,19.46867,0.03193832,19.06557,0.07598872,1497602229463443456,0.4676001,6.741386E-05,0.467048,0.044342,QSO,
1237660241923801741,3,21.78952,0.2391611,21.45086,0.06228964,21.19142,0.06721177,20.43002,0.05070027,20.33953,0.1621082,800630319429478400,0.6225512,9.408151E-05,0.71973,0.146538,QSO,
1237660765373727088,3,21.25015,0.1594983,20.99086,0.06389783,19.92221,0.03452292,18.8842,0.02242788,18.83879,0.06567024,1427713973729388544,0.5683954,3.725147E-05,0.587736,0.078934,QSO,BROADLINE
