objID,type,dered_u,err_u,dered_g,err_g,dered_r,err_r,dered_i,err_i,dered_z,err_z,specObjID,z,zErr,photoZ,photoErr,class,subClass
1237648721784078676,3,17.42085,0.01977691,15.72287,0.003244145,14.83785,0.002624751,14.30148,0.002508667,14.05947,0.005342418,343566899294005248,0.05460015,1.658E-05,0.051291,0.018672,QSO,STARBURST BROADLINE
1237651250974818448,3,20.11073,0.0428221,19.78492,0.01542938,18.97266,0.01154335,18.66604,0.01169103,18.21137,0.0265395,695844659712256000,0.2870793,3.088849E-05,0.34633,0.034273,QSO,BROADLINE
1237651252048101521,3,19.25452,0.02445635,19.13056,0.01031379,19.20442,0.01284215,18.91672,0.01399403,18.60797,0.03114475,695912004799457280,0.4258772,6.679841E-05,0.642006,0.179013,QSO,BROADLINE
1237651271885390008,3,20.23539,0.09036072,18.60448,0.01155604,17.6101,0.007521488,17.12852,0.006556257,16.82355,0.01545045,495400114257422336,0.1403438,9.447956E-05,0.172968,0.019233,QSO,
1237651495759511746,3,19.65309,0.04664271,19.08817,0.01370343,18.37685,0.01019569,17.89701,0.00929311,17.6893,0.0269485,495444369147455488,0.1854229,5.515251E-05,0.202027,0.027735,QSO,BROADLINE
1237651495759511746,3,19.65309,0.04664271,19.08817,0.01370343,18.37685,0.01019569,17.89701,0.00929311,17.6893,0.0269485,495435023751604224,0.1856843,6.161223E-05,0.202027,0.027735,QSO,BROADLINE
1237651505952915701,3,18.14254,0.02285575,17.14267,0.005082102,16.45902,0.004250229,16.02525,0.004481071,15.73632,0.03007613,592235484416075776,0.1124812,5.108315E-05,0.101189,0.024769,QSO,BROADLINE
1237651735236182095,3,25.14944,1.079011,21.38596,0.05898853,20.37797,0.04027843,22.25672,0.2903321,19.41241,0.09270872,343560027346331648,0.2898548,1.793424E-05,-9999,-9999,QSO,AGN BROADLINE
1237651752945451186,3,20.01961,0.09164472,18.35444,0.01068121,17.40939,0.007187728,16.97454,0.006883025,16.73385,0.0180782,592264346596304896,0.1476409,3.03502E-05,0.163205,0.029983,QSO,AGN BROADLINE
1237651754533978349,3,19.04758,0.04910256,18.35745,0.01258937,17.56469,0.009458906,17.14481,0.0101397,16.78811,0.02455072,563108866305320960,0.2598137,6.036588E-05,0.234561,0.030825,QSO,STARBURST BROADLINE
1237654599952629941,3,18.42114,0.02355727,17.30961,0.005848068,16.61531,0.004504336,16.19602,0.00435078,15.94933,0.009292717,563097321433229312,0.07833213,6.190206E-05,0.123661,0.022825,QSO,STARFORMING BROADLINE
1237655128760254724,3,19.89696,0.05522102,19.43781,0.01665829,18.72332,0.01340087,18.27212,0.01257442,18.04218,0.03566807,695877645061089280,0.2341161,7.055554E-05,0.25179,0.04443,QSO,BROADLINE
1237655464320303431,3,19.3233,0.03690403,18.80861,0.01108403,18.10282,0.008639728,17.74992,0.00886336,17.57875,0.02630391,915476510524073984,0.2531099,3.233129E-05,0.226789,0.02506,QSO,STARBURST BROADLINE
1237655499200069850,3,21.39182,0.1548895,20.56024,0.03233456,19.5276,0.01811014,19.75971,0.02982051,18.81105,0.05378707,384095448941488128,0.3502872,1.351358E-05,0.122371,0.085695,QSO,AGN BROADLINE
1237655499200135193,3,18.30193,0.01883449,18.09982,0.007010665,17.73382,0.006602156,17.36855,0.006574677,17.34889,0.01968032,384096823331022848,0.2229706,2.548623E-05,0.203477,0.02672,QSO,STARBURST BROADLINE
1237655499736416568,3,18.56461,0.05058684,17.02901,0.006943025,16.22386,0.005038011,15.80448,0.005283508,15.55629,0.01277082,384038274336843776,0.0852819,1.959088E-05,0.096984,0.019321,QSO,STARFORMING BROADLINE
1237656567048307025,3,19.36159,0.04615697,18.96809,0.0150314,18.14966,0.009847729,17.84109,0.01026585,17.28407,0.02211852,422282045079709696,0.2879867,4.114449E-05,0.312508,0.03912,QSO,BROADLINE
1237656567585177799,3,19.1336,0.05239363,18.4898,0.01274019,17.70558,0.008910055,17.17013,0.008220389,16.90784,0.02068106,422274623376222208,0.17191,3.206851E-05,0.172199,0.031894,QSO,BROADLINE
1237656567585505534,3,18.69555,0.03535824,17.93091,0.008327819,17.23766,0.00645986,16.7878,0.006267613,16.56111,0.01461716,422253732655294464,0.1476176,7.194735E-05,0.148059,0.028931,QSO,STARBURST BROADLINE
1237656906344562967,3,19.08453,0.02944497,18.98561,0.01169059,18.58036,0.01032743,18.59638,0.01339467,17.98744,0.02587485,422237789736691712,0.3136492,3.101003E-05,0.292841,0.058594,QSO,STARBURST BROADLINE
1237657071158952102,3,18.32788,0.03134037,16.78267,0.004619867,15.92641,0.003710055,15.46776,0.003630042,15.17908,0.007683832,452730265010202624,0.09200296,2.119825E-05,0.09912,0.018466,QSO,STARFORMING BROADLINE
1237657586030608703,3,19.15108,0.03718589,18.95679,0.01286804,18.54692,0.01156052,18.21901,0.01140975,18.03423,0.03534689,468422496505325568,0.2231872,5.656574E-05,0.471004,0.085569,QSO,BROADLINE
