objID,type,dered_u,err_u,dered_g,err_g,dered_r,err_r,dered_i,err_i,dered_z,err_z,specObjID,z,zErr,photoZ,photoErr,class,subClass
1237648675604137268,3,25.1896,0.6543708,24.13371,0.4793695,25.21105,0.6607735,21.04324,0.09979173,19.32101,0.07905313,387398931677472768,-3.215988E-05,0.0001449588,-9999,-9999,STAR,M9
1237648704057901492,3,24.38152,1.262514,21.96552,0.13819,19.89409,0.0284112,18.37904,0.01249786,17.65055,0.0234326,347947629386164224,-0.0001278167,3.577409E-05,0.707848,0.03949,STAR,M5
1237648704057901492,3,24.38152,1.262514,21.96552,0.13819,19.89409,0.0284112,18.37904,0.01249786,17.65055,0.0234326,347952032935602176,-0.0001255099,3.793522E-05,0.707848,0.03949,STAR,M5
1237648705664975085,3,20.2667,0.07411721,19.37347,0.0160854,19.29163,0.02111963,18.74974,0.01987527,18.57958,0.05504562,601254223258085376,-1.639211E-05,4.962453E-05,0.196103,0.141404,STAR,F2
1237650796755550252,3,21.78716,0.1826479,19.84265,0.02177239,24.7044,1.172112,21.1416,0.1542979,17.9371,0.02143218,534815407979128832,0.0001050127,7.575989E-06,-9999,-9999,STAR,K3
1237650797291765837,3,23.33357,0.6157705,24.95917,0.613077,20.51763,0.05730206,18.9119,0.01961435,18.24051,0.03243116,534883027944237056,0.00018056,4.077601E-05,0.569157,0.044759,STAR,M2
1237651192427249785,3,24.47853,0.903213,20.60824,0.03886965,24.71785,0.6375415,19.43751,0.01962684,19.23127,0.06156583,494358051524995072,-2.718421E-06,2.56055E-05,-9999,-9999,STAR,F9
1237651192427446603,3,22.79777,0.4803851,19.43871,0.01422708,18.14724,0.007720307,17.45111,0.006544117,17.07935,0.01286584,494345132263368704,-0.0001582284,1.161721E-05,0.207935,0.037269,STAR,M0
1237651251481280684,3,24.16627,1.093004,21.24561,0.0824928,19.99016,0.03638793,18.68959,0.01722962,18.13349,0.03145461,494349530309879808,4.481029E-05,2.246656E-05,0.652852,0.040205,STAR,M3
1237651538183782464,3,22.98434,1.742203,26.03619,2.364735,18.2916,0.02762156,17.39138,0.01945634,17.47809,0.06703446,687949066813859840,-0.0002287513,2.582415E-05,-9999,-9999,STAR,K1
1237651735209509620,3,24.29809,1.44926,24.98131,0.991523,23.76538,0.7229822,20.44876,0.06149096,18.65523,0.05248691,566329610824869888,1.977437E-05,5.896466E-05,0.463875,0.067822,STAR,M9
1237651735746511169,3,24.81055,1.286585,21.60172,0.07823659,20.13724,0.03002682,18.26373,0.009968239,17.15969,0.01398114,566335383260915712,-7.117369E-06,1.426021E-05,0.9289,0.050923,STAR,M6
1237651752925921306,3,24.40251,6.90662,15.28704,0.003826119,24.67689,5.635601,15.0225,0.007695473,22.75772,5.990761,566341705452775424,-8.622908E-05,1.08149E-05,-9999,-9999,STAR,F9
1237652598489612581,3,20.32927,0.09717469,19.33419,0.02232853,24.66823,2.173308,19.2911,0.02873805,17.93371,0.0283667,718384648618534912,-8.281526E-05,8.342203E-06,-9999,-9999,STAR,K3
1237652601173901442,3,20.99175,0.4103413,18.00539,0.01559629,24.59564,4.146909,17.63877,0.01436499,22.7636,2.340752,718425880304576512,2.191016E-05,1.207547E-05,-9999,-9999,STAR,F5
1237652936180891768,3,20.07189,0.3608425,24.71869,2.989237,19.22228,0.105446,17.27245,0.02014929,17.29683,0.07114227,718483054909220864,-0.0003690103,2.102087E-05,-9999,-9999,STAR,G2
1237652936180891780,3,22.1573,0.4701213,20.83412,0.05362893,20.29147,0.04494218,19.89013,0.05078094,21.25132,0.5791583,718478381984802816,-0.0002649397,3.12273E-05,0.157983,0.081171,STAR,K1
1237652944786227514,3,21.00373,0.1738615,19.48898,0.01957039,18.50807,0.01221077,17.85003,0.01119286,17.37746,0.0258322,845643226781083648,-0.0001168444,3.910258E-05,0.160661,0.048906,STAR,M2
1237657071160459932,3,22.88927,0.7081543,21.44687,0.0751037,20.3409,0.04199172,19.45871,0.02827467,18.83285,0.07058686,454972720384337920,-3.267523E-06,0.0001419854,0.588407,0.059768,STAR,M4
1237657071160459932,3,22.88927,0.7081543,21.44687,0.0751037,20.3409,0.04199172,19.45871,0.02827467,18.83285,0.07058686,454973269049632768,0.0001661896,0.0001093242,0.588407,0.059768,STAR,M4
1237663543687643226,3,22.58652,0.5427926,20.64139,0.05323999,22.15218,0.165063,18.82677,0.01581641,20.12468,0.167459,425709772679964672,1.53077E-05,4.75718E-05,0.064097,0.144651,STAR,M2
1237666407382450938,3,22.75896,0.4984626,21.72742,0.08184602,20.66187,0.04880022,19.5347,0.02670223,18.90595,0.05449234,454913071878531072,0.0001797705,0.0001631308,0.67655,0.07008,STAR,M4
1237666407382450938,3,22.75896,0.4984626,21.72742,0.08184602,20.66187,0.04880022,19.5347,0.02670223,18.90595,0.05449234,454909497375221760,-7.201259E-05,8.795472E-05,0.67655,0.07008,STAR,M4
1237668569858179601,3,19.91343,0.9462966,19.65383,0.2163882,18.64024,0.1054836,17.61674,0.05700798,17.01349,0.1069061,387448959456536576,-8.984642E-05,9.583438E-05,0.674607,0.060931,STAR,M4
1237673311505088877,3,24.78861,1.03291,21.36279,0.05071503,19.90971,0.02270224,19.19798,0.01867996,18.85106,0.04732961,494325615931975680,-4.142516E-05,4.226398E-05,0.399604,0.056606,STAR,M0
1237646587176681593,3,19.13198,0.36713,19.49632,0.1091751,18.51243,0.03405671,17.68949,0.01748481,17.24938,0.03076989,1405229811479111680,0.0001498824,5.597725E-05,0.334975,0.098632,STAR,M4
1237655463767965783,3,24.09822,1.602932,22.68545,0.2486472,24.74266,1.411739,24.23556,1.440575,18.99356,0.08383232,875974117818394624,0.000209678,1.097692E-05,-9999,-9999,STAR,M0
1237655463767965783,3,24.09822,1.602932,22.68545,0.2486472,24.74266,1.411739,24.23556,1.440575,18.99356,0.08383232,875975455499380736,0.0001982312,9.247477E-06,-9999,-9999,STAR,F5
1237656537518112954,3,25.00119,1.310672,20.98355,0.06327472,24.72877,0.8610465,17.63866,0.008980612,17.07299,0.01568617,817417388168341504,-5.121567E-05,8.558026E-06,-9999,-9999,STAR,M0
