objID,type,dered_u,err_u,dered_g,err_g,dered_r,err_r,dered_i,err_i,dered_z,err_z,specObjID,z,zErr,photoZ,photoErr,class,subClass
1237648705142522142,3,24.25996,0.8627494,23.2609,0.3115194,21.04302,0.06483237,19.67396,0.02985187,19.4929,0.08107014,391948710843541504,-0.0004494596,6.082979E-05,0.575512,0.046434,STAR,M3
1237648705142522142,3,24.25996,0.8627494,23.2609,0.3115194,21.04302,0.06483237,19.67396,0.02985187,19.4929,0.08107014,391947336034576384,-0.0004949803,5.17226E-05,0.575512,0.046434,STAR,M2
1237651752926969900,3,21.38675,0.2515249,20.00993,0.03276997,24.69945,0.8513077,19.65249,0.03091897,22.7702,0.8430395,568660580810909696,9.009581E-05,5.902102E-05,0.64553,0.141301,STAR,G2
1237651754531815513,3,18.61421,0.1205657,17.94002,0.04831311,26.22455,3.868403,17.96539,0.06184119,17.26046,0.106128,537182107781326848,-5.546624E-05,2.835535E-05,-9999,-9999,STAR,F9
1237651822179909794,3,20.87532,0.1422093,19.01906,0.01721036,24.70423,1.133706,24.28913,1.051191,19.05058,0.07720926,667717777498335232,-0.0001123771,1.780622E-05,-9999,-9999,STAR,G2
1237655126077473235,3,22.74254,0.6773224,21.22076,0.08183978,19.60883,0.03458106,18.56589,0.02010719,17.95144,0.03674754,941413165558687744,6.219611E-05,5.258102E-05,0.555807,0.02813,STAR,M2
1237655551281661259,3,24.83173,1.717096,21.15679,0.1057239,19.55368,0.03366409,19.06413,0.03410228,18.54995,0.07034925,391982520826095616,-0.0001714512,8.384077E-05,0.326757,0.038574,STAR,M1
1237655551281661259,3,24.83173,1.717096,21.15679,0.1057239,19.55368,0.03366409,19.06413,0.03410228,18.54995,0.07034925,391981146017130496,-0.0003336471,0.0001898188,0.326757,0.038574,STAR,M1
1237657877537948829,3,25.62318,0.812495,21.87564,0.1366398,20.44057,0.05256491,19.42393,0.02981003,19.16902,0.07651045,1043764781913237504,-0.00287001,0.4885829,0.55488,0.047156,STAR,T2
1237660026132169069,3,22.47329,0.6062619,21.56036,0.1391438,20.40974,0.07667733,19.76184,0.05800788,19.38947,0.153854,908698844982700032,-0.001026802,1.593518E-05,0.495843,0.083368,STAR,L5.5
1237663278465614412,3,23.8271,0.7927434,22.33347,0.1174035,20.81068,0.04724437,20.1584,0.04249357,19.79562,0.1097437,753385959503980544,-0.003860188,9.026627E-05,0.390018,0.055768,STAR,O
1237663544223203709,3,20.97029,0.08413065,20.11062,0.0204297,19.73602,0.01924162,19.59768,0.0243388,19.62304,0.08159136,1166578306976344064,-0.0007782025,5.63329E-05,0.153927,0.069219,STAR,F5
1237671766931472444,3,24.52889,1.238633,24.58373,0.7537838,23.448,0.5805978,22.13895,0.2925776,18.39348,0.04720526,392941569893754880,-5.117809E-05,2.948828E-05,-9999,-9999,STAR,M2
1237671938730360894,3,23.29079,1.13067,25.02907,0.6851014,24.74301,0.6567612,19.42176,0.02157968,19.11464,0.06093359,392956688178636800,-7.06919E-05,3.082843E-05,-9999,-9999,STAR,M0
1237646587173930010,3,22.73608,0.511167,21.21809,0.05771784,19.70907,0.02275842,18.40405,0.01251507,17.61539,0.02253807,1400746247689627648,0.0001413581,2.438737E-05,0.624884,0.071455,STAR,M4
1237646587710407104,3,23.6682,0.637831,21.484,0.06379828,20.12692,0.02557905,18.85815,0.01505873,18.17418,0.02609286,1400717385509398528,3.465442E-05,2.840009E-05,0.666796,0.048136,STAR,M4
1237646588247539967,3,23.66253,1.173528,20.97328,0.0628693,20.49036,0.0564636,19.34777,0.03133843,19.32759,0.108055,1400725631846606848,0.0001367535,4.441036E-05,0.399366,0.160725,STAR,K5
1237653011887030412,3,21.23198,0.5227463,19.02702,0.02928504,24.61596,3.758286,24.22354,3.879672,17.39525,0.05651064,1660768107116914688,-0.0007084905,2.855309E-05,-9999,-9999,STAR,K7
1237656567583408552,3,23.72538,1.113925,20.82645,0.0477674,19.50585,0.02057491,18.61495,0.01419771,18.33548,0.03563318,1660767282483193856,6.52282E-06,4.014078E-05,0.48843,0.057377,STAR,M0
1237656567583867150,3,25.40419,0.8275792,20.35091,0.03760312,19.83953,0.02974908,19.73657,0.03759373,19.29161,0.0900982,1660716430070409216,-0.0002879403,4.667626E-05,0.106031,0.109863,STAR,K3
1237656906343186477,3,24.27271,1.040764,21.63039,0.08969607,20.07257,0.02993331,18.75709,0.01461642,18.02287,0.02668554,1660704885198317568,9.604367E-05,4.001165E-05,0.683518,0.045817,STAR,M4
1237657192517271877,3,21.46597,0.1455198,20.56949,0.0279728,19.87623,0.0231168,19.39202,0.02234556,19.01068,0.05314275,1226242761255053312,-0.0001424508,8.813568E-05,0.349383,0.142226,STAR,M1
1237658204524381028,3,21.93536,0.3640717,21.38745,0.09560953,19.51649,0.02744388,18.69564,0.02288627,18.27817,0.05700797,1453588227838470144,-2.788245E-05,2.012865E-05,0.46377,0.021221,STAR,F9
1237659329239515966,3,25.3107,1.663305,22.42892,0.2115327,20.72051,0.06618407,19.67597,0.03658223,19.26754,0.09676551,1503241899513767936,-0.004020706,6.611242E-06,0.563391,0.032125,STAR,K1
1237660343926259780,3,24.49935,2.227942,18.89631,0.01227349,24.72909,3.395934,19.39716,0.05683315,17.28944,0.01808884,1356863639046350848,7.963717E-05,9.742905E-06,-9999,-9999,STAR,K1
1237660343926325496,3,24.49068,0.806283,23.89804,0.3380996,20.00019,0.02379183,18.98199,0.01493182,18.60263,0.04068142,1356865288313792512,5.447192E-05,4.579191E-05,0.436979,0.037196,STAR,M2
1237660343926456554,3,24.49219,3.196347,18.59283,0.01076685,24.72526,3.353318,18.62956,0.03180351,22.78457,1.840256,1357902952412506112,7.484444E-05,8.955028E-06,-9999,-9999,STAR,F9
1237660343926784049,3,20.90392,0.1662381,19.02555,0.01545333,24.73713,3.482339,19.39537,0.04930646,17.17101,0.01695374,1357887559249717248,-0.0001321758,1.083619E-05,-9999,-9999,STAR,G2
1237660343926849584,3,19.52557,0.04665369,17.72248,0.006620257,24.7384,3.531989,20.28832,0.1058374,22.79174,2.129729,1357890308028786688,-0.0001439635,1.038556E-05,-9999,-9999,STAR,F9
1237660614512345095,3,20.17153,0.06790341,24.9929,2.295098,24.71799,3.258267,18.24075,0.02811212,22.78045,2.678858,1378218905230665728,-7.471106E-05,1.092216E-05,0.919837,0.141342,STAR,M1
1237660962937503906,3,21.27593,0.1279745,22.6777,0.1878019,20.8623,0.04889272,20.42473,0.04945425,20.02843,0.1097587,1430048237888235520,0.001037404,0.009326263,0.342322,0.057755,STAR,CV
1237661211510571941,3,23.82076,0.9390364,21.24423,0.04968813,20.10669,0.03175719,19.66366,0.02984639,19.37557,0.09090009,1453629184646604800,-0.0005670764,0.3108118,0.23549,0.068869,STAR,L9
1237661435931656523,3,23.44465,1.369245,21.65833,0.1172058,20.78704,0.09711535,19.30051,0.04312276,18.43167,0.0707926,1453608843681490944,-0.0001801704,7.578554E-05,0.695156,0.098552,STAR,M4
1237661435931656523,3,23.44465,1.369245,21.65833,0.1172058,20.78704,0.09711535,19.30051,0.04312276,18.43167,0.0707926,1453610492898600960,-0.0001094005,5.409833E-05,0.695156,0.098552,STAR,M5
