objID,type,dered_u,err_u,dered_g,err_g,dered_r,err_r,dered_i,err_i,dered_z,err_z,z,zErr,zWarning,class,subClass
1237654605330776273,6,21.05009,0.08482558,20.21816,0.02030476,20.05794,0.02113813,20.02452,0.02515234,20.09607,0.08940053,0.0008467234,7.109191E-05,0,STAR,A4V (97603)
1237664874578903219,6,20.21339,0.05918504,18.88894,0.009876521,18.43562,0.008771644,18.26155,0.00927335,18.26107,0.02630836,0.0002790091,1.02841E-05,0,STAR,F9
1237649961385590986,6,19.36101,0.03415027,18.48553,0.008640832,18.15973,0.00812477,18.02479,0.009133112,17.97073,0.0259872,0.0003960713,1.320469E-05,0,STAR,F3/F5V (30743)
1237663547440693389,6,19.74497,0.03818753,18.63744,0.008352738,18.20245,0.00805252,18.024,0.008712549,18.00452,0.02324586,0.0003628519,1.280255E-05,0,STAR,F9
1237665367431118955,6,17.41478,0.009517066,16.44753,0.004120224,16.17684,0.004089236,16.07216,0.004674762,16.07242,0.007295839,0.0002576678,6.198465E-06,0,STAR,F3/F5V (30743)
1237651191892672734,6,19.34573,0.02887107,17.93392,0.006236339,17.37334,0.005651708,17.15531,0.005975978,17.0294,0.01180569,0.0003819675,9.049505E-06,0,STAR,F9
1237657630045962320,6,17.5244,0.01078764,16.60088,0.004345758,16.31494,0.00528466,16.21736,0.005331766,16.18429,0.007291247,0.0003812021,8.290323E-06,0,STAR,F3/F5V (30743)
1237667912216084589,6,18.67066,0.02017047,17.70618,0.005886658,17.38729,0.005819182,17.27092,0.006415233,17.25621,0.01173949,0.0003716485,1.397379E-05,0,STAR,F5
1237673709327286443,6,19.9045,0.04709882,17.35252,0.004938484,16.2337,0.004717032,15.8308,0.004511953,15.61551,0.006464558,0.0002116669,8.370525E-06,0,STAR,K5
1237663479262871762,6,19.67472,0.04173672,17.32825,0.005346269,16.2859,0.00500061,15.90575,0.005066592,15.69361,0.006734603,2.602715E-05,7.494443E-06,0,STAR,K5
1237678578755698830,6,18.81907,0.0323143,17.51676,0.005965075,17.08227,0.005126559,16.93946,0.005478393,16.87737,0.01238381,0.0001101695,1.413848E-05,0,STAR,F9
1237666299481817408,6,20.81977,0.07471607,18.30425,0.007480125,17.01078,0.005371473,16.43893,0.005274372,16.09674,0.00729055,0.0001419751,9.788917E-06,0,STAR,K7
1237662262166290476,6,17.69023,0.01081795,16.8307,0.00477111,16.60306,0.004976606,16.52192,0.005135416,16.52545,0.008777802,0.0004358872,1.663521E-05,0,STAR,A0
1237659132744761373,6,18.98068,0.02342998,18.08755,0.00616939,17.83463,0.006365021,17.73926,0.007022844,17.73089,0.01890812,2.33278E-05,9.173668E-06,0,STAR,F3/F5V (30743)
1237661384382414890,6,18.01282,0.01241495,17.10256,0.004791494,16.83902,0.00494304,16.74069,0.005204569,16.72058,0.008952327,0.0004003555,8.354469E-06,0,STAR,F3/F5V (30743)
1237667911667023919,6,16.80118,0.008064378,15.90364,0.003833311,15.67729,0.004531724,15.59503,0.005084361,15.59266,0.006276378,9.490046E-05,9.202276E-06,0,STAR,F5
1237661055282185190,6,19.35866,0.03286915,18.26054,0.00854201,17.92516,0.00762314,17.82612,0.008126577,17.86325,0.01812304,7.146106E-05,1.603293E-05,0,STAR,F2
1237654605865681067,6,19.22448,0.02574793,18.30602,0.007024022,18.02779,0.006962578,17.94473,0.007646379,17.92702,0.0195727,0.0009092681,1.171053E-05,0,STAR,F3/F5V (30743)
1237664107389648933,6,19.0908,0.02212133,18.86633,0.008748314,19.23153,0.01228413,19.516,0.01999918,19.67612,0.07464417,6.521524E-05,5.029314E-05,0,STAR,WDhotter
1237646796526060667,6,20.53372,0.06216939,18.50184,0.007652148,17.63036,0.006035727,17.36571,0.006294519,17.18974,0.01465345,0.0001475299,8.639493E-06,0,STAR,K3V (32147)
1237648720686481548,6,20.22232,0.04635644,18.37392,0.007311252,17.65779,0.006068987,17.42149,0.006139028,17.26393,0.01273695,0.0002462647,8.211452E-06,0,STAR,K3
1237664869744443721,6,19.24818,0.02580117,18.13929,0.006790856,17.82717,0.006779541,17.73572,0.007480674,17.73849,0.01583659,0.0001198164,1.7087E-05,0,STAR,F2
1237648722816991655,6,20.19117,0.04496909,19.09013,0.01031138,18.88706,0.01058131,18.8883,0.01400459,18.89298,0.04272027,0.000262982,1.873812E-05,0,STAR,F5
1237667915955437591,6,17.40988,0.01066507,16.54775,0.004316126,16.24222,0.004594636,16.12742,0.005210963,16.11713,0.007386765,0.0002905792,7.745363E-06,0,STAR,F3/F5V (30743)
1237673809721361624,3,17.41296,0.0129401,16.48498,0.004581674,16.08415,0.003779783,15.97098,0.00401772,16.00593,0.007338082,0.0001831392,8.428216E-06,0,STAR,F5
1237651752927363131,6,17.74669,0.01268662,16.78514,0.004193756,16.50529,0.004426162,16.41532,0.004723193,16.41422,0.008783983,0.0003451626,1.292865E-05,0,STAR,F5
1237678622777213099,6,19.00871,0.02737721,18.08981,0.006773247,17.8241,0.006627511,17.7232,0.007274427,17.71675,0.01952399,4.015495E-05,1.375995E-05,0,STAR,F3/F5V (30743)
1237673431228416547,6,17.06293,0.01029372,16.05746,0.004670177,15.87295,0.004718348,15.85319,0.005144214,15.87654,0.00702799,7.792821E-05,9.758127E-06,0,STAR,F5
1237668297665413219,6,19.01115,0.02448306,18.12331,0.006975006,17.72685,0.006794488,17.60201,0.007570747,17.53005,0.01584104,0.0003808195,1.457376E-05,0,STAR,F5
1237668294983417868,6,17.80538,0.01323461,16.7682,0.004616179,16.43187,0.004243229,16.33711,0.00469512,16.30719,0.008164834,2.239534E-05,8.159726E-06,0,STAR,F5
1237663917345538264,6,19.09744,0.03191715,17.61844,0.005780573,16.99448,0.005205392,16.79606,0.00536318,16.69817,0.01130486,6.309245E-05,8.453818E-06,0,STAR,F9
1237657118941446174,6,20.09647,0.04692531,19.19958,0.01161813,18.86579,0.0106965,18.76182,0.01254877,18.70889,0.0331576,0.0003297673,2.003853E-05,0,STAR,F3/F5V (30743)
1237663784218525757,6,17.3825,0.01111467,16.32657,0.004219346,16.02754,0.004972359,15.94091,0.005168321,15.93137,0.007304128,7.976136E-05,7.24752E-06,0,STAR,F6V (16673)
1237661382776651833,6,20.60057,0.05127164,19.485,0.01197615,19.03553,0.01085111,18.91203,0.01181313,18.82651,0.03088078,9.69836E-05,1.792866E-05,0,STAR,G0
1237668350828937249,6,16.85071,0.008090234,16.93685,0.004177514,16.77169,0.004160954,16.24933,0.004011982,15.85285,0.006076251,4.213821E-05,1.031264E-05,0,STAR,M1
1237663784742224024,6,20.71039,0.05716978,18.08793,0.006593418,16.92705,0.005309772,16.51846,0.005676388,16.27657,0.00741456,9.442586E-05,9.006049E-06,0,STAR,K5
1237658297916194878,6,17.70528,0.011158,16.80332,0.00399969,16.53457,0.004006327,16.4266,0.004141197,16.41186,0.00772704,0.00114789,9.347609E-06,0,STAR,F5
1237662266466697333,6,17.89319,0.01264203,17.00039,0.005033726,16.78743,0.005604495,16.72313,0.005685062,16.70997,0.009657145,0.0002190224,2.271894E-05,0,STAR,A0
1237673710400963022,6,19.28657,0.02964077,18.01739,0.006322101,17.42615,0.005762801,17.17004,0.006171034,17.04395,0.01233014,0.001104696,9.546569E-06,0,STAR,F9
1237662663748288607,6,19.60139,0.02845205,18.70773,0.008268164,18.44606,0.00824879,18.32297,0.009955243,18.35462,0.02675124,0.0004356,2.146749E-05,0,STAR,F5
